pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.0863697705802969	0.222897623225639	1.32973134671005	NA	53	ENSG00000125845;ENSG00000165633;ENSG00000138696;ENSG00000174136;ENSG00000107779;ENSG00000113658;ENSG00000120693;ENSG00000134852;ENSG00000197879;ENSG00000186280;ENSG00000170365;ENSG00000039068;ENSG00000166266
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.618585298196949	0.769851375215055	0.901179734202645	NA	48	ENSG00000173269;ENSG00000125845;ENSG00000173267;ENSG00000107779;ENSG00000122378;ENSG00000099994
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.300824175824176	0.513853165470872	1.10934745944192	NA	51	ENSG00000174684;ENSG00000175264;ENSG00000005884;ENSG00000187479;ENSG00000019485;ENSG00000182264;ENSG00000034693;ENSG00000100372;ENSG00000134852;ENSG00000106571;ENSG00000156738;ENSG00000177455
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.229970326409496	0.440132284367753	1.19315208069431	NA	31	ENSG00000127863;ENSG00000169783;ENSG00000173402;ENSG00000163069;ENSG00000123096;ENSG00000134769;ENSG00000151835;ENSG00000027001;ENSG00000198947;ENSG00000040608
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.918965517241379	0.950795191381482	0.609645828412966	NA	9	ENSG00000275835;ENSG00000170113
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.12108843537415	0.286523544482728	1.25389230096585	NA	55	ENSG00000198752;ENSG00000104067;ENSG00000183153;ENSG00000136854;ENSG00000263155;ENSG00000163029;ENSG00000187123;ENSG00000119906;ENSG00000104059;ENSG00000154639;ENSG00000083067;ENSG00000166405
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.752551020408163	0.850588064009723	-0.809987402821404	NA	18	ENSG00000271503;ENSG00000114166;ENSG00000005339;ENSG00000166912;ENSG00000010810;ENSG00000169926
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.509493670886076	0.679573549307782	-0.965135703969689	NA	40	ENSG00000135439;ENSG00000166716;ENSG00000132155;ENSG00000136404;ENSG00000117394
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.390207715133531	0.587568972705201	1.05340668265897	NA	31	ENSG00000117322;ENSG00000171105;ENSG00000128052;ENSG00000177455;ENSG00000160293;ENSG00000110651
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.000672279973235619	0.00588891399632355	-1.67336627886561	NA	70	ENSG00000147065;ENSG00000149925;ENSG00000034152;ENSG00000149923;ENSG00000090238;ENSG00000102882;ENSG00000102879;ENSG00000113575;ENSG00000185905;ENSG00000171862;ENSG00000013364;ENSG00000162924;ENSG00000112640;ENSG00000103495;ENSG00000089289;ENSG00000197471;ENSG00000113580;ENSG00000171720;ENSG00000105568;ENSG00000154845;ENSG00000064012;ENSG00000109320;ENSG00000103502;ENSG00000108984
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.00197390852513039	0.0125394875133626	-1.67092401228224	NA	50	ENSG00000160014;ENSG00000101084;ENSG00000117676;ENSG00000102882;ENSG00000126934;ENSG00000156711;ENSG00000167658;ENSG00000198668;ENSG00000010256;ENSG00000100030;ENSG00000181929;ENSG00000112062;ENSG00000169032
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.395209580838323	0.589649153011478	-1.04326419274696	NA	28	ENSG00000072864;ENSG00000138107;ENSG00000166783;ENSG00000116473;ENSG00000162946;ENSG00000132912;ENSG00000007168;ENSG00000204843
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.000558132540140652	0.00523002831039302	-1.83919125094922	NA	21	ENSG00000166579;ENSG00000164924;ENSG00000113575;ENSG00000137100;ENSG00000166913;ENSG00000162946;ENSG00000128245;ENSG00000175203;ENSG00000132912;ENSG00000007168;ENSG00000204843
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.885462555066079	0.933630078316202	-0.819276319486875	NA	75	ENSG00000092871;ENSG00000006125;ENSG00000002834;ENSG00000131748;ENSG00000275700;ENSG00000271503;ENSG00000167258
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.368883312421581	0.574449055753949	1.05861880644917	NA	95	ENSG00000187634;ENSG00000134569;ENSG00000162576;ENSG00000198719;ENSG00000179403;ENSG00000050165;ENSG00000138614
WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.00899342461795553	0.0392010039567344	1.59552750712696	NA	25	ENSG00000162409;ENSG00000265107;ENSG00000183853;ENSG00000104067;ENSG00000130396;ENSG00000171016
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.433915211970075	0.622514579692501	1.02260080187403	NA	110	ENSG00000090539;ENSG00000183072;ENSG00000146648;ENSG00000099957;ENSG00000110799;ENSG00000128191;ENSG00000244486;ENSG00000234409;ENSG00000003137;ENSG00000114315;ENSG00000107796;ENSG00000164402;ENSG00000164107;ENSG00000185345
WP_22Q112_DISTAL_CNV	WP_22Q112_DISTAL_CNV	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.000191956630268992	0.00236314175912232	-1.64649500158014	NA	130	ENSG00000149269;ENSG00000116514;ENSG00000086589;ENSG00000099995;ENSG00000145491;ENSG00000087365;ENSG00000180370;ENSG00000118217;ENSG00000110395;ENSG00000100603;ENSG00000143368;ENSG00000100030;ENSG00000204628;ENSG00000100218;ENSG00000170889;ENSG00000103363;ENSG00000172426;ENSG00000076924;ENSG00000130985;ENSG00000167705;ENSG00000125352;ENSG00000125835;ENSG00000204560;ENSG00000106245;ENSG00000166233;ENSG00000186716;ENSG00000104897;ENSG00000140988;ENSG00000115268;ENSG00000089248;ENSG00000149806;ENSG00000044574;ENSG00000134072;ENSG00000185651;ENSG00000152495;ENSG00000169976;ENSG00000142534
WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.00443913550036338	0.0225924717364862	-1.66288424543599	NA	32	ENSG00000067560;ENSG00000196843;ENSG00000102882;ENSG00000168610;ENSG00000135956;ENSG00000100030
WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.777777777777778	0.86832788671024	-0.856509185691371	NA	53	ENSG00000136689;ENSG00000196083;ENSG00000131981;ENSG00000165527;ENSG00000125637;ENSG00000100030;ENSG00000099817;ENSG00000184557;ENSG00000177885;ENSG00000186184;ENSG00000136238;ENSG00000172965;ENSG00000197943
WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.00567998517987778	0.0272340342045719	-1.74928355171865	NA	13	ENSG00000067560;ENSG00000168610;ENSG00000188219;ENSG00000115762;ENSG00000136238
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.48375	0.656775335320417	0.990683064872578	NA	113	ENSG00000085982;ENSG00000163359;ENSG00000197461;ENSG00000146648;ENSG00000130147;ENSG00000063660;ENSG00000132321;ENSG00000108387;ENSG00000107562;ENSG00000162804;ENSG00000144476;ENSG00000114315;ENSG00000006607;ENSG00000168395;ENSG00000204104
WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME	WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.373540856031128	0.577749706945712	-1.03015446049337	NA	62	ENSG00000105329;ENSG00000089159;ENSG00000173757;ENSG00000126561;ENSG00000180370;ENSG00000184678;ENSG00000100644;ENSG00000163964;ENSG00000174007;ENSG00000161217;ENSG00000163959;ENSG00000264364;ENSG00000146425;ENSG00000174004;ENSG00000145107;ENSG00000163958;ENSG00000125971;ENSG00000105697
WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION	WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.0152551090246761	0.0560379206511289	-1.56932835124993	NA	25	ENSG00000034152;ENSG00000132155;ENSG00000102882;ENSG00000126934;ENSG00000099875;ENSG00000051382;ENSG00000171608;ENSG00000100030;ENSG00000169032;ENSG00000079277;ENSG00000173327;ENSG00000108984;ENSG00000197442;ENSG00000187840;ENSG00000142208
WP_4P163_COPY_NUMBER_VARIATION	WP_4P163_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.12202380952381	0.287988835430545	-1.29064527271261	NA	29	ENSG00000163041;ENSG00000013810;ENSG00000102882;ENSG00000110395;ENSG00000100030;ENSG00000177885;ENSG00000204356;ENSG00000163950;ENSG00000070371
WP_5Q35_COPY_NUMBER_VARIATION	WP_5Q35_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	8.60812993264298e-06	0.000270414012711647	-1.8549405561003	NA	102	ENSG00000114353;ENSG00000011198;ENSG00000198055;ENSG00000125952;ENSG00000132510;ENSG00000163041;ENSG00000168918;ENSG00000145335;ENSG00000087206;ENSG00000131187;ENSG00000169223;ENSG00000177666;ENSG00000169220;ENSG00000146094;ENSG00000127946;ENSG00000065135;ENSG00000131188;ENSG00000196923;ENSG00000169228;ENSG00000113763;ENSG00000177885;ENSG00000176340;ENSG00000169230;ENSG00000126267;ENSG00000158019;ENSG00000121966;ENSG00000140443;ENSG00000146066;ENSG00000160883;ENSG00000213347;ENSG00000105393;ENSG00000183258
WP_6Q16_COPY_NUMBER_VARIATION	WP_6Q16_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.319516407599309	0.527204137891289	1.13988603008033	NA	10	ENSG00000171105;ENSG00000148053
WP_7OXOC_AND_7BETAHC_PATHWAYS	WP_7OXOC_AND_7BETAHC_PATHWAYS	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.880813953488372	0.931964589579451	-0.737724545894742	NA	25	ENSG00000196407;ENSG00000172893;ENSG00000101473;ENSG00000123130;ENSG00000140284;ENSG00000136881;ENSG00000119655;ENSG00000135929
WP_7Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_7Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.381909547738693	0.582021267472772	-1.0198778089899	NA	101	ENSG00000111640;ENSG00000172757;ENSG00000086730;ENSG00000102882;ENSG00000141867;ENSG00000049541;ENSG00000177169;ENSG00000139722;ENSG00000075399;ENSG00000105953;ENSG00000177885;ENSG00000126581;ENSG00000106682;ENSG00000161011;ENSG00000158773;ENSG00000074319;ENSG00000171720;ENSG00000110955;ENSG00000220205;ENSG00000106089;ENSG00000155975;ENSG00000160948
WP_7Q1123_DISTAL_COPY_NUMBER_VARIATION	WP_7Q1123_DISTAL_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.0373051351452802	0.115521417437478	-1.4880874040924	NA	19	ENSG00000132155;ENSG00000005486;ENSG00000189077;ENSG00000035664;ENSG00000127948
WP_8P231_COPY_NUMBER_VARIATION_SYNDROME	WP_8P231_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.000617221911459771	0.00556721941920645	-1.8252436981986	NA	44	ENSG00000103126;ENSG00000197747;ENSG00000143226;ENSG00000079459;ENSG00000132155;ENSG00000102882;ENSG00000137462;ENSG00000173281;ENSG00000121552;ENSG00000175806;ENSG00000100030
WP_8Q1123_RB1CC1_COPY_NUMBER_VARIATION	WP_8Q1123_RB1CC1_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.154855643044619	0.342787085890078	-1.30008895172292	NA	16	ENSG00000170296;ENSG00000120899;ENSG00000139112;ENSG00000034713;ENSG00000177169;ENSG00000175224
WP_ACETAMINOPHEN_IN_ANALGESIA_AND_ANTIPYRESIS	WP_ACETAMINOPHEN_IN_ANALGESIA_AND_ANTIPYRESIS	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.895883777239709	0.943526151520665	-0.639247283252583	NA	8	ENSG00000073756;ENSG00000095303
WP_ACETYLCHOLINE_SYNTHESIS	WP_ACETYLCHOLINE_SYNTHESIS	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.419565217391304	0.606704623878537	-1.08247484612949	NA	5	ENSG00000161217
WP_ACE_INHIBITOR_PATHWAY	WP_ACE_INHIBITOR_PATHWAY	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.413621262458472	0.604554953123235	1.05589816846371	NA	12	ENSG00000144891;ENSG00000164867
WP_ACQUIRED_PARTIAL_LIPODYSTROPHY_BARRAQUERSIMONS_SYNDROME	WP_ACQUIRED_PARTIAL_LIPODYSTROPHY_BARRAQUERSIMONS_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.288416075650118	0.501056592849906	-1.1835365829556	NA	10	ENSG00000197766;ENSG00000113368
WP_ACTIVATION_OF_NLRP3_INFLAMMASOME_BY_SARSCOV2	WP_ACTIVATION_OF_NLRP3_INFLAMMASOME_BY_SARSCOV2	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.033652884152036	0.106123100553115	-1.49455522423076	NA	7	ENSG00000162711;ENSG00000173039;ENSG00000137752;ENSG00000103490;ENSG00000109320;ENSG00000125538
WP_ACUTE_MYELOID_LEUKEMIA	WP_ACUTE_MYELOID_LEUKEMIA	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.000313157287508351	0.00356607861150135	-1.7562502377552	NA	67	ENSG00000066336;ENSG00000173757;ENSG00000169896;ENSG00000131759;ENSG00000078061;ENSG00000132155;ENSG00000269335;ENSG00000126561;ENSG00000102882;ENSG00000168610;ENSG00000126934;ENSG00000051382;ENSG00000245848;ENSG00000171608;ENSG00000175634;ENSG00000137193;ENSG00000133703;ENSG00000170458;ENSG00000105221;ENSG00000100030;ENSG00000173039;ENSG00000150337;ENSG00000177885;ENSG00000159216;ENSG00000157764;ENSG00000092067;ENSG00000169032;ENSG00000140379;ENSG00000133101
WP_ACUTE_VIRAL_MYOCARDITIS	WP_ACUTE_VIRAL_MYOCARDITIS	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.0104521917868462	0.0434665777296458	-1.42434771329956	NA	81	ENSG00000128340;ENSG00000105329;ENSG00000196352;ENSG00000167207;ENSG00000160255;ENSG00000015475;ENSG00000102882;ENSG00000168610;ENSG00000070756;ENSG00000005844;ENSG00000171552;ENSG00000162434;ENSG00000183625;ENSG00000075624;ENSG00000100030;ENSG00000100985;ENSG00000104472;ENSG00000137752;ENSG00000103490;ENSG00000127666;ENSG00000121966;ENSG00000132906;ENSG00000187554;ENSG00000064012;ENSG00000087088;ENSG00000102245
WP_ADIPOGENESIS	WP_ADIPOGENESIS	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.658866995073892	0.798726559682654	0.910387349196979	NA	121	ENSG00000116016;ENSG00000162998;ENSG00000018408;ENSG00000113594;ENSG00000122756;ENSG00000125845;ENSG00000132793;ENSG00000182636;ENSG00000175745;ENSG00000106483;ENSG00000025434;ENSG00000003137;ENSG00000168487;ENSG00000152377;ENSG00000125378
WP_AEROBIC_GLYCOLYSIS_AUGMENTED	WP_AEROBIC_GLYCOLYSIS_AUGMENTED	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.00324769409862407	0.0180376213692835	-1.75284467868392	NA	12	ENSG00000149925;ENSG00000111640;ENSG00000102144;ENSG00000134333;ENSG00000074800;ENSG00000067225;ENSG00000111669;ENSG00000156515;ENSG00000117394;ENSG00000105220
WP_AFFECTED_PATHWAYS_IN_DUCHENNE_MUSCULAR_DYSTROPHY	WP_AFFECTED_PATHWAYS_IN_DUCHENNE_MUSCULAR_DYSTROPHY	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.169032258064516	0.364901391224583	1.2005424456004	NA	75	ENSG00000162409;ENSG00000144891;ENSG00000118523;ENSG00000153956;ENSG00000173402;ENSG00000123096;ENSG00000134769;ENSG00000087245;ENSG00000144935
WP_AFLATOXIN_B1_METABOLISM	WP_AFLATOXIN_B1_METABOLISM	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.755963302752294	0.851882048000187	0.801306561405437	NA	6	ENSG00000143819
WP_AGERAGE_PATHWAY	WP_AGERAGE_PATHWAY	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.000605510385798223	0.00551619961462181	-1.76348072963023	NA	64	ENSG00000147065;ENSG00000067560;ENSG00000131504;ENSG00000070831;ENSG00000173757;ENSG00000158517;ENSG00000184481;ENSG00000132155;ENSG00000126561;ENSG00000102882;ENSG00000168610;ENSG00000163932;ENSG00000172936;ENSG00000131981;ENSG00000185591;ENSG00000162551;ENSG00000100030;ENSG00000100985;ENSG00000173039;ENSG00000166501;ENSG00000100644;ENSG00000112062;ENSG00000169032;ENSG00000132906
WP_AGERELATED_MACULAR_DEGENERATION	WP_AGERELATED_MACULAR_DEGENERATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.49597423510467	0.668391313876264	0.983970561632741	NA	16	ENSG00000162409;ENSG00000129484
WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION	WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.653543307086614	0.794897133185455	-0.858709814067172	NA	16	ENSG00000067560;ENSG00000203879;ENSG00000198668;ENSG00000156052
WP_AKT_SIGNALING_AND_ARTD_FAMILY_MEMBERS	WP_AKT_SIGNALING_AND_ARTD_FAMILY_MEMBERS	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.376947040498442	0.579087274694909	-1.03218485459434	NA	33	ENSG00000141506;ENSG00000269335;ENSG00000051382;ENSG00000171608;ENSG00000105221;ENSG00000081913;ENSG00000105851;ENSG00000118046;ENSG00000119487;ENSG00000082701;ENSG00000142208
WP_ALANINE_AND_ASPARTATE_METABOLISM	WP_ALANINE_AND_ASPARTATE_METABOLISM	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.0511073253833049	0.145952267787432	1.43881235140523	NA	11	ENSG00000108381
WP_ALBUTEROL_AND_BUDESONIDE_THERAPY_FOR_ASTHMA	WP_ALBUTEROL_AND_BUDESONIDE_THERAPY_FOR_ASTHMA	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.626139817629179	0.773644049804553	0.890770562572462	NA	25	ENSG00000173175;ENSG00000174233;ENSG00000164742
WP_ALLOGRAFT_REJECTION	WP_ALLOGRAFT_REJECTION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.644155844155844	0.790038374030635	0.906868097472549	NA	83	ENSG00000144891;ENSG00000134853;ENSG00000156234;ENSG00000112936;ENSG00000130635;ENSG00000224389;ENSG00000137077;ENSG00000107562
WP_ALPHA_6_BETA_4_SIGNALING	WP_ALPHA_6_BETA_4_SIGNALING	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.192364170337739	0.396479093162172	1.22067202114656	NA	33	ENSG00000172037;ENSG00000091136;ENSG00000132470;ENSG00000130702;ENSG00000169398;ENSG00000196569;ENSG00000053747;ENSG00000101680
WP_ALSTROM_SYNDROME	WP_ALSTROM_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	gtex_tissue_pair__GTEx_whole_blood_vs_spleen_DESeq2	0.142437591776799	0.321986714909836	1.27299689449313	NA	33	ENSG00000122970;ENSG00000096872;ENSG00000128602;ENSG00000143147;ENSG00000158301;ENSG00000138002
