pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.042216797864996	0.139933383310665	1.48841755995775	NA	7	HMGA1;XRCC4;BANF1;XRCC5
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.00141595372840097	0.00862223370009114	-1.75026697497356	NA	7	ADH1A;PCK1;ABCB1;SLC22A3;ABCG2
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.157057654075547	0.341899463171829	-1.18137558381276	NA	88	ABCA9;ABCA10;ABCA8;ABCB5;ABCA6;ABCD2;ABCB1;ABCC9;CFTR;ABCA5
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.00610601999129677	0.0294819275874057	-1.71792615520667	NA	16	ABCA9;ABCA10;ABCA6;ABCD2;ABCA5
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.0712945590994371	0.20053009321302	1.35454460482685	NA	64	PSMA5;PSMC4;PSMB4;PSMD14;PSMD3;PSMB3;PSMD12;PSMA4;PSMD11;ABCA3;ADRM1;SEM1;PSMA7;DERL1;PSMA3;PSMB2;PSMC2;PSMD2;PSMB5;PSMB7;APOA1;PSMC5;RNF5;VCP;PSMA6;PSMD1;PSMD13;ERLEC1;PSMC6
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.0311729042396236	0.108643260515549	1.52803873292943	NA	20	UBE2C;UBE2S;ANAPC7
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.130755064456722	0.299351387877663	1.33557001340333	NA	17	CCNE2;E2F1;CCNE1;E2F2;CDK2;E2F3
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.022837684588438	0.0857380870565934	1.59535792865095	NA	22	POLR2H;POLR2K;NCBP2;NCBP1;POLR2G;NELFCD;POLR2J;POLR2D;NELFB;CTDP1;NELFE;POLR2I;SUPT5H;NELFA;GTF2F1
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.320825515947467	0.532804886840592	1.14600293358333	NA	11	CHRNA6;CHRNA9
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.802867383512545	0.88475186790064	0.755395694861438	NA	5	CHRNA9
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.771535580524345	0.86748797505656	0.777031364288826	NA	15	SYT1;STX1A;RAB3A
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.945031712473573	0.967974678903567	-0.573184238799001	NA	10	PRKCA
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.683809523809524	0.818170476833542	0.839740276459297	NA	31	APH1A;NEURL1;PSENEN;NCSTN;DTX2;PSEN2;PSEN1
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.651111111111111	0.80009972299169	-0.864309998957598	NA	6	NTRK2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.688699360341151	0.820784706673545	-0.839066854683227	NA	11	NTRK2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.266666666666667	0.478757176629517	-1.20452456400431	NA	7	NTRK2;GRIN2B;FYN
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.302222222222222	0.514445511794215	-1.18389838652143	NA	7	NTRK2;PIK3R1;NTF4
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.694092827004219	0.820784706673545	-0.823468780036846	NA	9	NTRK2
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.5	0.700949367088608	-0.985032984173879	NA	6	PIK3R1;NTRK3;NTF3;IRS1;PIK3CA
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.784029038112523	0.874699942368889	0.756962983621709	NA	8	GRB2;KRAS
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	2.16553497043099e-05	0.000244415794114887	1.94869950526817	NA	36	H3C10;H3-3A;H2BC5;H2AX;H2BC6;H4C14;H4C9;H2BC12;H3C12;H2BC17;H2BC9;H2BC21;H2BC4;H2BC11;H2AC20;H4C8;H2AC6;H4C5;H4C12;H2BC7;H4C4;H2BC15;H2BC8;H3C8
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.328440366972477	0.540474228506623	1.07761409425089	NA	23	MAPKAPK2;RIPK2;NOD2;UBE2N
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.261425959780622	0.474152303716747	1.1547338710807	NA	26	TUBA1C;TUBB3;TUBB8;TUBB4B;TUBA1B;TUBA3D;TUBA4B
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	2.29939262082243e-05	0.000254657732756084	1.84231553585469	NA	90	EZH2;H3C10;H3-3A;POLR2H;H2BC5;H2AX;H2BC6;H4C14;H4C9;H2BC12;DPY30;H3C12;PAGR1;H2BC17;H2BC9;CNOT9;H2BC21;POLR2K;RARA;H2BC4;H2BC11;H2AC20;RBBP7;H4C8;H2AC6;H4C5;PBX1;RBBP5;CNOT6;WDR5;H4C12;PCGF2;NCOA6;H2BC7;H4C4;POLR2G;H2BC15;H2BC8;H3C8
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	1.17183552964807e-07	2.50179826329685e-06	2.12194029629346	NA	64	NEK2;CCNB1;CDK1;PTTG1;UBE2C;PLK1;UBE2S;MAD2L1;CDC20;CCNA2;BUB1B;BUB3;PSMA5;ANAPC7;PSMC4;PSMB4;PSMD14;PSMD3;PSMB3;PSMD12;PSMA4;PSMD11;ANAPC11;ADRM1;SEM1;PSMA7;PSMA3;PSMB2;PSMC2;PSMD2
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	9.50459119284751e-10	3.50877824869287e-08	2.2290703177765	NA	37	CLSPN;CDC25C;CDC6;ORC6;MCM10;MCM4;CHEK1;CDC45;DBF4;RPA3;RFC2;ORC1;CDC25A;RFC4;MCM6;CDC7;MCM2;RAD1;MCM3;CDK2;RFC5;ORC5
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.395131086142322	0.609906171292853	1.06420435943026	NA	15	YWHAZ;YWHAH;YWHAB;AKT1;YWHAQ;BAD;BID
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.113594040968343	0.274609332327289	1.32204389354037	NA	30	E2F1;YWHAZ;PMAIP1;YWHAH;BBC3;BMF;YWHAB;DYNLL1;TFDP1;AKT1;TP53BP2
REACTOME_ACTIVATION_OF_C3_AND_C5	REACTOME_ACTIVATION_OF_C3_AND_C5	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.449275362318841	0.657947059528087	1.02982955467339	NA	7	CFB;C4B;C4A
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.28804347826087	0.500896019115074	1.1635713057362	NA	6	CASP3
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.794411177644711	0.879810379241517	-0.811607183722715	NA	42	GPAM;ACACB;PPARA
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE	REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.838779956427015	0.901951173531907	-0.741617310650167	NA	17	TANK;TLR4;OPTN;RPS27A;CD14;PTPN11
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.476495726495726	0.683131413713938	-0.983878612355394	NA	27	GNG11;GNG2;NCALD;GRIK5;GNG7;GNG12;GRIK1;GNB5
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.0484171322160149	0.156846724473087	1.50334208078811	NA	30	MMP11;MMP13;MMP1;MMP10;MMP14;PRSS2;MMP9
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.000279776391091729	0.00215549463049802	1.77955576675139	NA	54	PSMA5;PSMC4;PSMB4;PSMD14;PSMD3;PSMB3;PSMD12;PSMA4;PSMD11;NFKBIE;ADRM1;SEM1;PSMA7;PSMA3;PSMB2;NFKBIB;PSMC2;PSMD2;PSMB5;PSMB7;PSMC5;PSMA6;PSMD1;PSMD13;PSMC6;PSMA1;PSMD8;PSMC3;CARD11
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7	REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.00137022079364432	0.00840149220186071	1.67907530490627	NA	7	CCNB1;CDK1;PLK1;CCNB2
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.580838323353293	0.760713606047329	-0.93719347930934	NA	89	PPM1F;GRIA4;DLG2;APBA1;GRIN2B;GRIA1;PRKAR2B;RPS6KA3;GRIA3;ADCY8;TUBB6;CAMK1;RPS6KA2;KIF17;NRG1;GRIN2A;ARHGEF7;PRKAA1;PRKAG2
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.247311827956989	0.457479217225177	1.19440970468697	NA	5	E2F1;PMAIP1;TFDP1
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION	REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.383966244725738	0.599125384446397	-1.09217470227276	NA	9	PRKAG2;PPARGC1A;MAPK11
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA	REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.498106060606061	0.700071256996403	1.01456493534417	NA	9	E2F1;BBC3;TFDP1;TP53BP2
REACTOME_ACTIVATION_OF_RAC1	REACTOME_ACTIVATION_OF_RAC1	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.439232409381663	0.650769088147414	-1.02706263857796	NA	13	PAK3;PAK5;SLIT2;SOS2;SOS1
REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS	REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.44	0.651361737677527	-1.04228638097713	NA	7	CAMK1;ARHGEF7
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS	REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.14336917562724	0.319962442331826	1.28872137135551	NA	5	KRAS;RASGRP1;HRAS;NRAS
REACTOME_ACTIVATION_OF_SMO	REACTOME_ACTIVATION_OF_SMO	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.217864923747277	0.424238071296895	-1.23244748573609	NA	17	BOC;EVC2;ARRB1;PTCH1;GAS1
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.0191359269158343	0.0746891244380139	-1.66679517157516	NA	10	FOS;JUN;MAPK10
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.801635991820041	0.88475186790064	-0.833698906783296	NA	59	EIF3L;RPS25;EIF4B;EIF4A2;EIF4A1;RPS27A;RPS3A;RPS23;EIF3F;EIF3D;RPS13;RPS20;EIF3K;RPS6;RPS4X;RPS4Y1
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.637023593466425	0.797291630263848	0.886946940828014	NA	8	GNGT1;SAG;GNB1;PDE6B
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	4.77238151458646e-08	1.08418718510862e-06	2.15063711268733	NA	32	POLE2;CDC6;ORC6;MCM10;MCM4;CDC45;DBF4;RPA3;ORC1;CDT1;PRIM2;MCM6;CDC7;MCM2;MCM3;CDK2;POLE3;ORC5;POLA2;POLE
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS	REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.916844349680171	0.949910655506442	-0.626132370321358	NA	11	CITED1
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS	REACTOME_ACTIVATION_OF_TRKA_RECEPTORS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.0118270945376251	0.0509917555247485	-1.62897072786295	NA	6	ADCYAP1R1;NTRK2
REACTOME_ACYL_CHAIN_REMODELING_OF_CL	REACTOME_ACYL_CHAIN_REMODELING_OF_CL	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.797297297297297	0.881904376286399	-0.729065395079765	NA	5	PLA2G4A;HADHA
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.0357492752416647	0.1220572557384	-1.56713122982	NA	6	DGAT2;PNPLA2;MGLL
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.638766519823789	0.798232914758641	-0.901799608378688	NA	24	PLA2G4A;LPCAT2;PLA2R1;PLB1;PLA2G2A;LPCAT4;PLA2G5;PLA2G4E
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.905494505494505	0.942182186574435	-0.728113565273307	NA	26	PLA2G4A;PLA2R1;PLA2G2A;LPCAT4;PLA2G5;PLAAT5;PLA2G4E
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.673076923076923	0.813219280380177	-0.847382141360572	NA	15	PLA2G4A;PLA2R1;PLA2G2A;LPCAT4;PLA2G5
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.828092243186583	0.894198327194774	-0.737766323013067	NA	14	PLA2G4A;PLA2R1;PLA2G2A;PLA2G5;PLA2G4E
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.474137931034483	0.681958128078818	-0.993319502820571	NA	19	PLA2G4A;PLA2R1;PLA2G2A;LPCAT4;PLA2G5;PLA2G4E
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.0429107648086336	0.14186170753899	-1.58037503012246	NA	10	GNAL;ADCY4;ADCY8;ADCY3
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.0155269991840025	0.0631205602893455	-1.60217964736936	NA	14	GNAL;ADCY4;GNAI1;ADCY8;ADCY3
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.0001092429170097	0.000972756024830097	1.60953327821208	NA	209	EZH2;H3C10;H3-3A;H2BC5;H2AX;H2BC6;H4C14;CDH11;H4C9;H2BC12;PSMA5;H3C12;H2BC17;H2BC9;PSMC4;NECTIN2;H2BC21;RPN1;SMARCA4;H2BC4;H2BC11;H2AC20;RBBP7;MTBP;PSMB4;OSTC;ADAM19;PSMD14;H4C8;CDH2;RPN2;PSMD3;H2AC6;H4C5;SRC;TCF3;SPCS1;MOGS;H4C12;PSMB3;TMEM258;SPCS2;WT1;MOV10;PSMD12;PSMA4;H2BC7;H4C4;ILF3;ARHGAP32;PSMD11;H2BC15;ACTG1;H2BC8;H3C8;ZNF217;ADRM1;CSNK2B;SEM1;PSMA7;HDAC2;ACTB;PSMA3;GANAB;SEC11C;H3C6;KDM1A;PSMB2;CDH7;PSMC2;HDAC1;PSMD2;CDH24;DNTTIP1;PSMB5;DDOST;CTBP2;SUZ12;PCSK6;PRKCSH;CSNK2A1;NECTIN4;PSMB7;MYCN;STT3A;OST4;ARID1A;H2AJ;PSMC5;JUP;PSMA6;PSMD1
REACTOME_ADIPOGENESIS	REACTOME_ADIPOGENESIS	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.00129820869197032	0.00804344686073917	-1.6268180140069	NA	107	SLC2A4;EBF1;FABP4;PLIN1;LPL;CD36;LEP;PCK1;PPARG;CIDEA;KLF4;ADIPOQ;EBF2;COX7A1;ANGPTL4;EGR2;PPARA;PRDM16
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.0338510067829519	0.116473755377458	-1.47426007634639	NA	39	ADCY4;GNG11;GNAI1;IL6;GNG2;PRKAR2B;ADCY8;GNG7;GNG12;ADCY3
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.525274725274725	0.717645962364544	-0.959620919375228	NA	22	GNG11;GNG2;PLA2G4A;GNG7;GNG12
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12	REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12	c2_reactome	fgsea	tcga_cancer__BRCA_DESeq2	tcga_cancer__BRCA_DESeq2	0.219827586206897	0.427121143375681	-1.22226662650806	NA	19	GNG11;GNAI1;P2RY12;GNG2;GNG7;GNG12
