pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	hallmark	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.327030033370412	0.430302675487384	1.06350663232907	NA	196	RAB34;RETN;APLP2;TANK;LPL;CD151;ITGA7;IDH1;ACOX1;SLC1A5;COL4A1;ELOVL6;GPX4;UCP2;DHCR7;PLIN2;ESYT1;PEMT;GPD2;ABCA1;SNCG;COL15A1;CYP4B1;ANGPTL4;STOM;NMT1;RIOK3;C3;RMDN3;PEX14;TKT;JAGN1;ACAA2;APOE;CAVIN1;IFNGR1;FAH;LAMA4;CS;PFKL;CDKN2C;SQOR;PTGER3;ORM1;MGLL
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	hallmark	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.163128491620112	0.239894840617811	1.15767203092009	NA	187	CCND2;DEGS1;TIMP1;F2R;INHBB;CDKN2A;EREG;CCL13;ICAM1;CCND3;TGFB1;FLNA;CD47;LYN;ST8SIA4;HLA-G;TLR2;FAS;HDAC9;BCAT1;IFNGR2;TGFB2;HIF1A;NPM1;ELF4;IL11;CTSS;MAP3K7;CAPG;IFNGR1;THY1;MRPL3;EGFR;STAB1;RARS1;STAT1;CD40;EIF3D;EIF5A;IL18;BCL3;IFNAR2;RIPK2;CCR1;IGSF6;INHBA;IL4R;ELANE;IL27RA;ABI1;GCNT1;WARS1;CCL22
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	hallmark	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.596130592503023	0.693175107561655	0.927888153542025	NA	99	CCND1;PMEPA1;TSC22D1;KRT19;UBE2I;ACTN1;ALDH1A3;TMEM50A;CCND3;ANKH;PTK2B;STEAP4;RPS6KA3;STK39;MERTK;SCD;DBI;GSR;SAT1;SLC26A2;ITGAV
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	hallmark	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.00253365289880223	0.0107944851591598	1.70340070266514	NA	31	CCND2;TIMP1;LPL;JAG2;PDGFA;TNFRSF21;POSTN;COL5A2;S100A4;VCAN;LRPAP1;COL3A1;SPP1;PTK2;ITGAV;NRP1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	hallmark	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	4.11867674004956e-08	5.14834592506195e-07	1.85171243550443	NA	188	MPZL2;BMP1;CDH3;NECTIN4;CDH6;GRB7;MAPK13;ITGA3;AMIGO2;LAMB3;ICAM5;MSN;ITGA2;CD276;CDH15;MDK;SRC;ADRA1B;ITGB4;MYH10;ADAM15;SDC3;ALOX15B;LAMC2;CDH4;CX3CL1;ACTN4;ACTN1;CTNNA1;CLDN9;BAIAP2;SLC30A3;DSC3;PCDH1;DMP1;CAP1;MYL12B;CDH8;TGFBI;RRAS;ICAM1;NECTIN1;TUBG1;VASP;CDH11;RASA1;GNAI2;CLDN7
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	hallmark	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.577777777777778	0.688803949673515	0.934316152787914	NA	41	CX3CL1;DCBLD2;PCSK9;RHCG;FLOT2;LYN;PLAUR;SULF2;SHROOM2;THY1;LYPD3
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	hallmark	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.000155677592448847	0.000972984952805293	1.61689593535613	NA	159	CCND1;LGALS3;CD44;CCND2;TIMP1;BID;ERBB3;BCL2L1;F2R;RARA;PEA15;IGFBP6;CCNA1;EREG;CLU;BAX;IGF2R;SC5D;ERBB2;CTNNB1;PPT1;ANKH;CASP6;GPX1;ANXA1;GPX4;SPTAN1;RELA;FAS;GSN;DAP3;TNFRSF12A;DAP;FDXR;DPYD;BTG3;TGFB2;GUCY2D;PMAIP1;BGN;CASP3;ADD1;PSEN1;CDC25B;PTK2;SLC20A1;CDK2;GSR;SAT1;CDKN1A
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	hallmark	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.817295980511571	0.863095238095238	0.82074952156193	NA	94	RXRG;ISOC1;ABCG4;IDH1;SULT2B1;SLC27A2;NPC1;LONP2;ABCA4;PEX19;ABCA1;NR1I2;FDXR;ACSL5;HSD3B7;OPTN;PECR;SULT1B1;AQP9
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.0747782002534854	0.128927931471527	1.29710523612865	NA	72	LGALS3;S100A11;LPL;ETHE1;CLU;CXCL16;ANXA5;SC5D;CTNNB1;DHCR7;TM7SF2;TP53INP1;TNFRSF12A;SCD;ATF5;PLAUR;HSD17B7;ATXN2;NIBAN1;PDK3;CD9
HALLMARK_COAGULATION	HALLMARK_COAGULATION	hallmark	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	1.83814099139068e-09	3.06356831898448e-08	2.01132641281143	NA	113	BMP1;PROS1;DPP4;SERPINA1;TMPRSS6;FN1;ITGA2;TIMP1;DUSP6;SPARC;FYN;PRSS23;PLAU;CTSH;CFI;MMP11;HPN;COMP;C8A;MMP1;CLU;S100A1;ISCU;RAPGEF3;F2RL2;MMP7;SERPINB2;MMP14;C8B;PROC;PREP;ANXA1;PDGFB;CTSB;MMP3;GNB2;GSN;RABIF;S100A13;LAMP2;RAC1;LTA4H;CAPN2;HTRA1;KLK8;C3
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	hallmark	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	7.22235237960067e-05	0.000722235237960067	1.61067205550223	NA	186	HPCAL4;DPP4;LGALS3;SERPINA1;TMPRSS6;FN1;MMP13;TIMP1;DUSP6;DOCK9;FYN;SRC;CTSH;CD55;CTSC;CDH13;CDA;CLU;CD59;PCSK9;ANXA5;PRKCD;SPOCK2;SERPINB2;DUSP5;DGKH;MMP14;PREP;GNAI2;CASP10;PPP4C;LYN;PDGFB;CTSB;CTSD;CPM;GNB2;GPD2;RABIF;S100A13;LAMP2;LTA4H;NOTCH4;C3;PLAUR;CA2;CD46;CASP3;SIRT6;PSEN1;CFB;USP15;PHEX
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	hallmark	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.00920007096562945	0.0270590322518513	1.38840081474707	NA	148	DDB2;STX3;AK1;CDA;CANT1;SUPT5H;NT5C3A;TK2;GPX4;PNP;TP53;RFC5;IMPDH2;NCBP2;RRM2B;MPC2;MPG;TAF12;PCNA;DDB1;POLH;POLR3C;HPRT1;AGO4;CMPK2;CSTF3;RFC2;ERCC1;RALA;SEC61A1;POLD1;ARL6IP1;TYMS;POLR2D;GUK1;TSG101;SAC3D1;LIG1;NELFB;ZWINT;ERCC3;DGUOK;ADRM1
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	hallmark	fgsea	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.555924695459579	0.688803949673515	0.968522592499201	NA	199	CDKN2A;ATAD2;MCM4;TUBG1;DONSON;SLBP;TP53;KIF22;HELLS;MCM3;ASF1B;ANP32E;STMN1;PCNA;HMGA1;DNMT1;UBE2T;MCM6;CDC25B;CDKN1A;CKS2;CNOT9;PPP1R8;TBRG4;GINS1;CHEK1;CTPS1;MCM7;NAP1L1;CIT;CDKN2C;RBBP7;H2AX;RFC2;PLK4;GINS3;TIMELESS;SPC24;POP7;POLE;SNRPB;IPO7;POLD1;CHEK2;CSE1L;JPT1;RAD51AP1;LIG1;HMGB3;ORC6;TK1;TCF19;BRCA2;CCNE1;MSH2
