pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	hallmark	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	7.64154101238549e-05	0.000424530056243638	-1.56602833556374	NA	198	ENSG00000115255;ENSG00000133027;ENSG00000073060;ENSG00000119927;ENSG00000229314;ENSG00000127948;ENSG00000165029;ENSG00000079739;ENSG00000119787;ENSG00000006831;ENSG00000172893;ENSG00000161533;ENSG00000116171;ENSG00000137824;ENSG00000241399;ENSG00000170522;ENSG00000125730;ENSG00000138074;ENSG00000141232;ENSG00000095321;ENSG00000122971;ENSG00000124782;ENSG00000142655;ENSG00000111275;ENSG00000128311;ENSG00000136560;ENSG00000162368;ENSG00000042445;ENSG00000196502;ENSG00000105379;ENSG00000138413;ENSG00000171135;ENSG00000185000;ENSG00000103876;ENSG00000205726;ENSG00000117791;ENSG00000104325;ENSG00000158615;ENSG00000101782;ENSG00000130203;ENSG00000128590;ENSG00000157184;ENSG00000136448;ENSG00000138073;ENSG00000132300;ENSG00000114480;ENSG00000142168;ENSG00000099977;ENSG00000138032;ENSG00000248098;ENSG00000173638;ENSG00000100075;ENSG00000121691;ENSG00000110871;ENSG00000167315;ENSG00000095637;ENSG00000148175;ENSG00000164405;ENSG00000130717;ENSG00000137992;ENSG00000170262;ENSG00000198142;ENSG00000109919;ENSG00000147872;ENSG00000065833;ENSG00000151552;ENSG00000250479;ENSG00000120915;ENSG00000115361;ENSG00000104823;ENSG00000139641
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	hallmark	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.949008498583569	0.958333333333333	-0.848227339457223	NA	192	ENSG00000180210;ENSG00000165471;ENSG00000146648;ENSG00000166278;ENSG00000141429;ENSG00000103653;ENSG00000158473;ENSG00000158092;ENSG00000126759;ENSG00000010610;ENSG00000142208;ENSG00000132507;ENSG00000100385;ENSG00000069399;ENSG00000085760;ENSG00000012048;ENSG00000138378;ENSG00000185507;ENSG00000005844;ENSG00000077238;ENSG00000140986;ENSG00000134539;ENSG00000122641;ENSG00000156234;ENSG00000164163;ENSG00000104432;ENSG00000090861;ENSG00000105372;ENSG00000180644;ENSG00000027697;ENSG00000121989;ENSG00000163131;ENSG00000275302
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	hallmark	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.0206167680806703	0.0542546528438692	-1.36395827914375	NA	100	ENSG00000103942;ENSG00000116133;ENSG00000074695;ENSG00000140526;ENSG00000160862;ENSG00000099194;ENSG00000150961;ENSG00000186480;ENSG00000118985;ENSG00000154122;ENSG00000266412;ENSG00000250722;ENSG00000012660;ENSG00000117143;ENSG00000112972;ENSG00000128590;ENSG00000145703;ENSG00000110931;ENSG00000149485;ENSG00000134294;ENSG00000177189;ENSG00000013375;ENSG00000189060;ENSG00000142208;ENSG00000086062;ENSG00000164120;ENSG00000067064;ENSG00000140263;ENSG00000123983;ENSG00000153037;ENSG00000166451;ENSG00000081377;ENSG00000130706;ENSG00000168118;ENSG00000167034;ENSG00000151092;ENSG00000129128;ENSG00000113161
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	hallmark	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.701940035273369	0.779933372525965	0.841966100882266	NA	36	ENSG00000118785;ENSG00000174640;ENSG00000175445;ENSG00000169398;ENSG00000184916;ENSG00000146072;ENSG00000077782;ENSG00000133110;ENSG00000142192;ENSG00000196154;ENSG00000138448;ENSG00000101384;ENSG00000159167;ENSG00000163132;ENSG00000173391;ENSG00000118971;ENSG00000099250
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	hallmark	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.00798352235300706	0.0265550203562111	1.36680504689942	NA	193	ENSG00000005884;ENSG00000156284;ENSG00000062038;ENSG00000172367;ENSG00000189143;ENSG00000113361;ENSG00000197122;ENSG00000174059;ENSG00000164007;ENSG00000117020;ENSG00000126562;ENSG00000005020;ENSG00000124181;ENSG00000261371;ENSG00000163531;ENSG00000143217;ENSG00000172260;ENSG00000117461;ENSG00000145147;ENSG00000162692;ENSG00000050405;ENSG00000165025;ENSG00000197702;ENSG00000169398;ENSG00000018236;ENSG00000181885;ENSG00000154096;ENSG00000185386;ENSG00000165458;ENSG00000130402;ENSG00000166086;ENSG00000164171;ENSG00000126458;ENSG00000140937;ENSG00000204381;ENSG00000108622;ENSG00000139211;ENSG00000168067;ENSG00000167123;ENSG00000141738;ENSG00000055118;ENSG00000137103;ENSG00000101335
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	hallmark	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.00849760651398755	0.0265550203562111	1.5183298485014	NA	44	ENSG00000162631;ENSG00000172005;ENSG00000105929;ENSG00000198569;ENSG00000107485;ENSG00000184349;ENSG00000197891;ENSG00000140519;ENSG00000169129;ENSG00000170927;ENSG00000180447;ENSG00000134202;ENSG00000058453;ENSG00000154096;ENSG00000142192
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	hallmark	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.652054794520548	0.773857257417803	-0.935439027489836	NA	155	ENSG00000180210;ENSG00000164305;ENSG00000116761;ENSG00000147155;ENSG00000109929;ENSG00000170458;ENSG00000015475;ENSG00000131979;ENSG00000221823;ENSG00000188641;ENSG00000042445;ENSG00000154122;ENSG00000170430;ENSG00000120885;ENSG00000065361;ENSG00000137875;ENSG00000142168;ENSG00000189060;ENSG00000102580;ENSG00000161513;ENSG00000131759;ENSG00000012048;ENSG00000166148;ENSG00000101966
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	hallmark	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	3.5167531832237e-12	8.79188295805926e-11	-2.17924569468562	NA	112	ENSG00000169083;ENSG00000101323;ENSG00000083807;ENSG00000118271;ENSG00000102910;ENSG00000103569;ENSG00000170099;ENSG00000025423;ENSG00000118137;ENSG00000122787;ENSG00000124713;ENSG00000145321;ENSG00000173597;ENSG00000144852;ENSG00000180432;ENSG00000172482;ENSG00000135929;ENSG00000143921;ENSG00000116133;ENSG00000197142;ENSG00000186350;ENSG00000162928;ENSG00000165029;ENSG00000133835;ENSG00000066583;ENSG00000167910;ENSG00000151726;ENSG00000089057;ENSG00000146233;ENSG00000116171;ENSG00000154262;ENSG00000117528;ENSG00000012504;ENSG00000103150;ENSG00000099377;ENSG00000042445;ENSG00000176894;ENSG00000198189;ENSG00000138413;ENSG00000172817;ENSG00000134824;ENSG00000131373;ENSG00000166821;ENSG00000148832;ENSG00000114115;ENSG00000118514;ENSG00000121680;ENSG00000115425;ENSG00000069869;ENSG00000149485;ENSG00000154265;ENSG00000154258;ENSG00000140284;ENSG00000101986;ENSG00000165092;ENSG00000142168;ENSG00000104883;ENSG00000084453;ENSG00000167780;ENSG00000121691;ENSG00000161513;ENSG00000067064;ENSG00000203857
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.000330861774794899	0.00165430887397449	-1.72014104032679	NA	74	ENSG00000169136;ENSG00000198099;ENSG00000160200;ENSG00000109084;ENSG00000164938;ENSG00000147155;ENSG00000170017;ENSG00000172893;ENSG00000099194;ENSG00000109107;ENSG00000109929;ENSG00000169919;ENSG00000132196;ENSG00000101255;ENSG00000169710;ENSG00000110721;ENSG00000149809;ENSG00000160285;ENSG00000134824;ENSG00000185813;ENSG00000120885;ENSG00000116663;ENSG00000116285;ENSG00000112972;ENSG00000120437;ENSG00000001630;ENSG00000178445;ENSG00000147383;ENSG00000160752;ENSG00000067064;ENSG00000164211;ENSG00000166148
HALLMARK_COAGULATION	HALLMARK_COAGULATION	hallmark	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	1.08890256541642e-09	1.81483760902736e-08	-2.02170840268421	NA	135	ENSG00000101981;ENSG00000187045;ENSG00000234906;ENSG00000130208;ENSG00000214274;ENSG00000126218;ENSG00000080618;ENSG00000118137;ENSG00000110245;ENSG00000180210;ENSG00000120054;ENSG00000165471;ENSG00000176919;ENSG00000131187;ENSG00000113600;ENSG00000113905;ENSG00000091513;ENSG00000055957;ENSG00000115718;ENSG00000143278;ENSG00000000971;ENSG00000117601;ENSG00000021852;ENSG00000157131;ENSG00000009724;ENSG00000243649;ENSG00000171557;ENSG00000140564;ENSG00000197249;ENSG00000171560;ENSG00000184500;ENSG00000088926;ENSG00000115414;ENSG00000164344;ENSG00000173531;ENSG00000182326;ENSG00000159403;ENSG00000149131;ENSG00000125730;ENSG00000105707;ENSG00000123384;ENSG00000166278;ENSG00000102996;ENSG00000134240
