pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.216783216783217	0.976950354609929	-1.24789974104143	NA	21	ABCB1;ABCC4
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.0331113633131239	0.523761565134869	1.48124225360646	NA	31	ZBTB16;PIK3CA;AKT2;SOS1;RPS6KB1;MAPK1;RUNX1;MAPK3;PIK3CB;MAP2K2
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.861386138613861	0.992696858425133	0.785326300981099	NA	55	INSR;BAIAP2;FER;TJP1;ACTN1;CREBBP;ACTB;EP300
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.673913043478261	0.992696858425133	0.840616638161869	NA	35	JAK2;MAPK10;PRKAG2;CPT1C;IRS2;AKT2
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.510083036773428	0.992696858425133	-1.00996997400865	NA	16	GLS;GOT1;ADSS2;NIT2;PPAT;ALDH5A1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.0896652507697471	0.687817090941468	1.42964335825849	NA	24	INSR;ATP1A3;NR3C2;PIK3CA;IRS2
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.829268292682927	0.992696858425133	-0.725138648744801	NA	5	PLA2G4A;ACOX3;ACOX1;FADS2
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.059796415796928	0.650286021791592	1.25338468875474	NA	115	PPP3CA;MT-CO1;MT-CO2;MT-ATP8;MT-ATP6;MT-CO3;MT-CYB;GRIN1;CACNA1C
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.754959159859977	0.992696858425133	-0.814664633918434	NA	31	RARS1;FARSB;IARS1;NARS1;FARSA;MTFMT;CARS1;TARS3;IARS2;YARS1;SARS1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.741520467836257	0.992696858425133	-0.779417223328165	NA	26	PGM3;GALT;UXS1;UGP2;HEXB;PMM2;CMAS;GNPDA1;FCSK;HEXA;PGM1;GMDS;GALK2;NAGK;AMDHD2
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.0211819952696032	0.508185036391208	1.52898910009782	NA	34	PPP3CA;GRIN1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.23481308411215	0.976950354609929	-1.239518029751	NA	20	CTSL
KEGG_APOPTOSIS	KEGG_APOPTOSIS	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.0582127873041699	0.650286021791592	1.29913220200673	NA	44	PPP3CA;PIK3CA;PRKACB;PRKAR2A;PRKAR2B;AKT2;PPP3R1;XIAP
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.106821106821107	0.747441874053463	-1.42602563842736	NA	7	CYP2E1
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.27953216374269	0.988567865308668	-1.18649494135135	NA	26	SAT2;GLS;GOT1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.823462414578588	0.992696858425133	-0.77527623326137	NA	42	CTNNA3;ACTG1
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	c2_kegg	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.181508940026549	0.976950354609929	1.15467096341857	NA	90	PPP3CA;EFNA5
