pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	2.11117001221675e-08	1.05558500610838e-06	NA	0.330015946178386	196	KRT15/KLK10/TPD52L1/CCND1/ALDH3B1/LAD1/CD44/ENDOD1/PAPSS2/DHRS3/SYT12/TIAM1/PRSS23/LRIG1/SNX24/RHOBTB3/KRT19/KCNK5/CHPT1/RARA/TFF1/SFN/RAPGEFL1/INHBB/RPS6KA2/SEC14L2/MREG/TMEM164/BCL2/PDLIM3/RBBP8/CANT1/ELF3/GFRA1/MPPED2/ADD3/DEPTOR/INPP5F/GAB2/PLAAT3/AMFR/TGM2/MUC1/NRIP1/SULT2B1/TTC39A/MINDY1/XBP1/KCNK15/CA12/BHLHE40/WFS1/MYBBP1A/CLDN7/TFF3/SLC27A2/BCL11B/GREB1/FDFT1/NAV2/TOB1/MED13L/DHCR7/KDM4B/FHL2/OLFM1/NADSYN1/SLC2A1/KRT13/FKBP4/PEX11A/SLC7A2/CYP26B1/CXCL12/DHRS2/ISG20L2/SLC1A1/SLC16A1/ITPK1/PMAIP1/ELOVL5/SYNGR1/SLC19A2/FOS/ZNF185/SYBU/RHOD/PGR/SLC24A3/SH3BP5/EGR3/TUBB2B/SLC26A2/GJA1/SOX3/DLC1/RAB17/TMPRSS3/FCMR/JAK2/MED24/KLF10/TFAP2C/MYC/RRP12/ELOVL2/ABLIM1/CALB2/MYOF/PPIF/SLC22A5/IGFBP4/RET/FARP1/RETREG1/ANXA9/FKBP5/SLC1A4/MYBL1/PODXL/AR/TIPARP/ADCY1/KRT18/STC2/TGIF2/HSPB8/SLC39A6/MSMB/BAG1/IL6ST/SCARB1/TPBG/GLA/THSD4/KLF4/FLNB/OLFML3/HR/CLIC3/TSKU/SLC37A1/TJP3/RAB31/ESRP2/UNC119/NCOR2/MAPT/SVIL/UGCG/DYNLT3/B4GALT1/ADCY9/SCNN1A/HES1/CBFA2T3/CELSR1/FRK/KAZN/AFF1/AKAP1/ARL3/REEP1/NBL1/CELSR2
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.000222562680433109	0.00454169659345486	NA	0.236297599222786	180	TPD52L1/EPHB3/RYR1/SPARC/AGRN/ERBB3/PC/MYBPH/NOS1/ITGB4/PLXNB2/PDLIM7/FLII/PTP4A3/AK1/MYH7/CDH13/EIF4A2/TNNT3/ITGA7/ITGB5/CLU/DAPK2/ATP6AP1/TEAD4/MYO1C/CFD/BIN1/DMD/MYL2/NCAM1/FGF2/CKM/MYH3/TGFB1/BHLHE40/GJA5/COL1A1/SPHK1/SPTAN1/SGCD/RIT1/APLNR/IGFBP3/NAV2/ADAM12/SOD3/ACTA1/APOD/PKIA/TPM3/SYNGR2/DES/FHL1/GSN/LDB3/CNN3/ACHE/COL15A1/CKB/CRYAB/EFS/SCD/SH3BGR/MB/SLN/LAMA2/ACTN2/PDE4DIP/FABP3/COL3A1/PPFIA4/CACNA1H/PRNP/MYH2/CDKN1A/AGL/GNAO1/TNNI1/MYL6B/MYL3/COL4A2/GADD45B/MYOM1/MYL1/CTF1/NQO1/ABLIM1/FST/COL6A3/ITGB1/ACSL1/MYH11/TCAP/AKT2/LPIN1/AEBP1/LSP1/CSRP3/CHRNB1/CD36/SIRT2/MAPK12/RB1/DENND2B/MYH9/STC2/HSPB8/GPX3/BDKRB2/PYGM/BAG1/ACTC1/ATP2A1/TNNC2/CASQ2/MEF2C/PVALB/CASQ1/HDAC5/DTNA/SVIL/SGCG/WWTR1/SSPN/GABARAPL2/NOTCH1/DMPK/SORBS1/ADCY9/FDPS/ENO3/CAMK2B/PFKM/CHRNA1/KIFC3/COL6A2/KLF5/OCEL1/HBEGF/REEP1/HRC
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.00034996243191043	0.00454169659345486	NA	0.222259765822503	192	GALE/KLK10/TPD52L1/CCND1/ALDH3B1/GJB3/MAPK13/KLK11/SERPINA1/CD44/PERP/PAPSS2/IGSF1/TIAM1/LSR/MDK/AGR2/PRSS23/KRT19/KCNK5/CHPT1/TSPAN13/GFUS/NMU/TFF1/LAMC2/SFN/EMP2/RAPGEFL1/ST14/RPS6KA2/SERPINA5/CCNA1/TRIM29/BCL2/PDLIM3/RBBP8/ADD3/PLAAT3/AMFR/HMGCS2/NRIP1/NAB2/SULT2B1/CXCL14/SORD/XBP1/CA12/IMPA2/PLXNB1/WFS1/TFF3/LTF/SLC27A2/FDFT1/FGFR3/TOB1/DHCR7/OLFM1/LLGL2/SLC2A8/KRT13/GINS2/ALDH3A2/FKBP4/PRKAR2B/CKB/ASS1/CYP26B1/CXCL12/DHRS2/SLC16A1/ITPK1/BTG3/CHST8/CA2/ELOVL5/FOS/HPRT1/PGR/SLC24A3/CD9/EGR3/SLC26A2/TPSAB1/TH/SOX3/CYP4F11/TMPRSS3/DCXR/JAK2/ST6GALNAC2/TFAP2C/PTGER3/MYOF/PPIF/PLK4/SLC22A5/IGFBP4/RET/CDC6/JAK1/TST/FARP1/ANXA9/GPER1/PCP4/ID2/S100A9/FKBP5/SLC1A4/ISG20/ZFP36/PKP3/ATP2B4/MEST/HSPB8/DLG5/KIF20A/CACNA2D2/BAG1/IL6ST/SCARB1/TPBG/SGK1/GLA/KLF4/FLNB/HR/FABP5/CLIC3/BATF/METTL3/TJP3/RAB31/NCOR2/MAPT/UNC13B/DYNLT3/PRLR/SCNN1A/ASCL1/FRK/AFF1/XRCC3/ARL3/IDH2/STIL/NBL1/CELSR2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.000363335727476389	0.00454169659345486	NA	0.217903360778367	199	BMP1/CDH6/PRSS2/SDC4/FN1/CD44/ITGA2/TIMP1/QSOX1/PDLIM4/SPARC/ECM1/EDIL3/PMEPA1/NTM/MATN2/SPOCK1/LAMC2/COMP/OXTR/CRLF1/TGFBR3/LOXL2/COL11A1/MATN3/ITGB5/MMP1/COL8A2/CD59/PTX3/P3H1/CDH2/FSTL3/DPYSL3/LAMC1/POSTN/FBLN5/FZD8/TGM2/ABI3BP/TGFBI/SGCB/FUCA1/IGFBP2/SERPINH1/NT5E/MMP14/FGF2/COL4A1/LGALS1/TGFB1/CTHRC1/CDH11/FLNA/COL1A1/COL5A1/FMOD/JUN/SGCD/PLOD1/SDC1/IGFBP3/RGS4/DKK1/ADAM12/COL7A1/COL5A2/CCN1/MXRA5/TNFRSF11B/FAS/MMP3/BASP1/FBLN1/WNT5A/VCAN/COL5A3/CXCL8/PLOD3/TNFRSF12A/FAP/APLP1/LOXL1/CXCL12/PCOLCE2/TNC/DCN/HTRA1/PLAUR/LAMA2/COL1A2/BGN/COL3A1/SPP1/CCN2/FBLN2/SAT1/COLGALT1/PLOD2/EMP3/CAPG/GJA1/ITGAV/CXCL1/MCM7/TNFAIP3/LOX/COL4A2/GADD45B/GAS1/PRRX1/THY1/COL6A3/ITGB1/IGFBP4/ANPEP/TIMP3/ECM2/PDGFRB/RHOB/VEGFA/ID2/CALU/THBS2/ITGA5/LAMA1/MEST/GLIPR1/SCG2/SERPINE2/INHBA/TPM4/MSX1/MMP2/ACTA2/MYL9/GADD45A/CAP2/IL6/GPC1/ITGB3/IL15/IL32/DAB2/SGCG/FERMT2/MFAP5/EFEMP2/NOTCH2/DST/VIM/COL12A1/SFRP1/COL6A2/FBN2
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.00045906988363835	0.0045906988363835	NA	0.21689547318573	194	TGFA/ZMAT3/TPD52L1/CDKN2B/PERP/CCND2/PHLDA3/PTPRE/DDB2/TSC22D1/ITGB4/F2R/PLXNB2/UPP1/JAG2/PDGFA/ALOX15B/SFN/DRAM1/AK1/MDM2/ST14/INHBB/CDH13/MAPKAPK3/TM7SF3/CCNG1/CDKN2A/NINJ1/BAIAP2/RGS16/RPS27L/PLK2/VWA5A/BAX/ISCU/KRT17/FUCA1/IER5/SERPINB5/CCND3/ZFP36L1/FBXW7/TGFB1/TM4SF1/SPHK1/JUN/SDC1/BMP2/PRKAB1/TP53/TOB1/NDRG1/PLK3/NUPR1/RAP2B/FAS/WWP1/CLCA2/CTSD/TP63/STEAP3/S100A4/EI24/PROCR/TRIAP1/STOM/FDXR/S100A10/CCP110/VAMP8/KLK8/HEXIM1/PCNA/CSRNP2/PPP1R15A/SLC19A2/MXD1/ZBTB16/FOS/POLH/AEN/SLC3A2/ZNF365/VDR/IRAK1/SAT1/CDKN1A/RETSAT/FGF13/FAM162A/TCHH/IP6K2/RXRA/DCXR/TNNI1/TNFSF9/CTSF/TCN2/HMOX1/H2AJ/TRIB3/RACK1/ELP1/ABHD4/RAB40C/HRAS/SEC61A1/EPHA2/RNF19B/RCHY1/CYFIP2/IRAG2/BTG2/PVT1/KIF13B/RB1/PRMT2/PIDD1/SLC35D1/BTG1/EPS8L2/WRAP73/SESN1/KLF4/TXNIP/H1-2/TSPYL2/CD82/GADD45A/SLC7A11/BLCAP/HDAC3/POM121/RRP8/DDIT4/ERCC5/RHBDF2/LIF/RPL36/NOTCH1/RRAD/NOL8/RPL18/FOXO3/CDKN2AIP/ANKRA2/OSGIN1/SP1/HBEGF/PMM1
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.00243056817105641	0.0202547347588034	NA	0.214440261363204	148	KRT15/SPTBN2/KLHDC8A/RYR1/TFF2/KLK7/RYR2/CLDN16/CHST2/PLAG1/SLC6A3/NOS1/EPHA5/PNMT/TFCP2L1/HTR1D/MYH7/AKR1B10/MTHFR/CCNA1/TENT5C/SLC5A5/ABCG4/CAMK1D/TGM1/SLC30A3/CDH16/SYNPO/SLC16A7/DLK2/NUDT11/SLC6A14/ALOX12B/SERPINB2/TCF7L1/SOX10/IGFBP2/CKM/PRKN/MFSD6/CPEB3/ADRA2C/GDNF/MAST3/FGFR3/RGS11/CD207/HSD11B2/IRS4/KRT13/PTGFR/NPHS1/ITIH3/TNNI3/KLK8/TGFB2/MACROH2A2/COPZ2/GP1BA/ZBTB16/SPHK2/KCND1/PDE6B/RSAD2/TCL1A/TG/CDKAL1/SKIL/ATP4A/CD40LG/SELENOP/KCNMB1/CLSTN3/ABCB11/CCR8/PKP1/ZC2HC1C/ITGB1BP2/PDCD1/SLC25A23/GPR19/PTPRJ/LYPD3/BMPR1B/CLDN8/EFHD1/SLC12A3/BTG2/IFNG/GPRC5C/CCDC106/THRB/C5/ACTC1/SGK1/NTF3/NRIP2/MX1/TENM2/PRODH/PDK2/IL12B/ENTPD7/YPEL1/EDN2/WNT16/SIDT1/CACNA1F/BARD1/VPS50/YBX2/EDN1/FGGY/ZNF112/CELSR2
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.00575284846153782	0.0410917747252701	NA	0.173561843874823	188	MPZL2/BMP1/CDH3/NECTIN4/CDH6/GRB7/MAPK13/ITGA3/AMIGO2/LAMB3/ICAM5/MSN/ITGA2/CD276/CDH15/LAYN/MDK/SRC/ADRA1B/ITGB4/MYH10/ADAM15/SDC3/ALOX15B/NEGR1/LAMC2/CDH4/CX3CL1/ACTN4/ACTN1/NLGN3/CTNNA1/CLDN9/BAIAP2/SLC30A3/DSC3/PCDH1/DMP1/CAP1/MYL12B/CDH8/TGFBI/EPB41L2/RRAS/ICAM1/NECTIN1/IRS1/TUBG1/VASP/CDH11/RASA1/GNAI2/CLDN7/ACTA1/NEXN/TNFRSF11B/VCAN/ADAMTS5/FLNC/PARD6G/NLGN2/NRAP/SYK/NECTIN2/TAOK2/ACTN2/CLDN11/PPP2R2C/PTK2/MAP4K2/CTNND1/SHROOM2/PKD1/TRO/MAPK14/SHC1/GNAI1/YWHAH/NRTN/CRB3/TMEM8B/MADCAM1/ITGA10/CALB2/THY1/CNTN1/LIMA1/ITGB1/CLDN8/SYMPK/AKT2/EGFR/CLDN4/HRAS/SGCE/ITGA9/TJP1/EXOC4/ACTG1/STX4/NF2/TSPAN4/MYH9/MAPK11/ADAM23/NECTIN3/VCL/PTPRC/VWF/TSC1/ARPC2/ACTC1/FYB1/MMP2/MYL9/DLG1/PFN1/LDLRAP1/CLDN5/RSU1/PIK3R3/ACTB/IKBKG/COL9A1/NFASC/B4GALT1/DHX16/CLDN6/CNN2/PARVA/MAP3K20/MVD/RHOF/JAM3/SIRPA/JUP/INPPL1/PECAM1/ZYX/CD274/AKT3/ARHGEF6
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.00686845702399309	0.0429278563999568	NA	0.217656232269888	113	BMP1/PROS1/DPP4/SERPINA1/TMPRSS6/FN1/ITGA2/TIMP1/DUSP6/SPARC/FYN/PRSS23/PLAU/CTSH/CFI/MMP11/HPN/COMP/C8A/F10/MMP1/CLU/S100A1/ISCU/RAPGEF3/F2RL2/CFD/HMGCS2/MMP7/SERPINB2/MMP14/C8B/PROC/PREP/ANXA1/PDGFB/CTSB/CPQ/MMP3/GNB2/GSN/RABIF/S100A13/LAMP2/RAC1/LTA4H/CAPN2/LGMN/HTRA1/KLK8/C3/GP1BA/CFB/CD9/TF/F12/MSRB2/PLAT/TIMP3/USP11/CRIP2/DUSP14/SIRT2/A2M/THBD/MASP2/FURIN/WDR1/C1S/KLKB1/APOC1/C1R/CAPN5/VWF/RGN/MMP2/ANG/DCT/OLR1/C8G/ITGB3/MMP15/CTSV/ARF4/PEF1/PECAM1/PLEK/CSRP1
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.00800364331735835	0.0444646850964353	NA	0.165908271331388	189	TGFA/GALE/P4HA2/MET/B3GAT1/B3GNT3/CD44/IL13RA1/QSOX1/GPC3/CHST2/AGRN/PC/GFUS/PAM/SDC3/PRPS1/KDELR3/CHST6/ERO1A/CHPF2/CTH/ELF3/CLDN9/GNPDA1/HS6ST2/IDH1/PFKFB1/CITED2/TGFBI/DSC2/NT5E/VLDLR/ALDH7A1/HS2ST1/MIOX/CASP6/EFNA3/SLC37A4/XYLT2/PKM/GLCE/COL5A1/P4HA1/PLOD1/TFF3/PYGB/SDC1/IGFBP3/HK2/SDC2/PKP2/GPC4/VCAN/MERTK/FKBP4/GNE/ANGPTL4/DCN/STMN1/PAXIP1/EXT1/PPFIA4/TPST1/PGK1/PDK3/ABCB6/CACNA1H/AGL/PLOD2/DPYSL4/GALK2/FAM162A/RBCK1/ENO1/EGLN3/MDH1/MED24/B4GALT2/FUT8/AKR1A1/ECD/B3GAT3/ALDH9A1/SAP30/EGFR/TXN/B4GALT4/VEGFA/BIK/B3GALT6/BPNT1/RARS1/ISG20/GMPPB/ARTN/AK4/PGLS/PPP2CB/NANP/CXCR4/GUSB/EXT2/STC2/LDHA/DLD/KIF20A/CAPN5/GYS1/PYGL/GMPPA/RPE/TALDO1/AURKA/TPBG/PFKP/HSPA5/PSMC4/ANG/GALK1/PGM2/GLRX/SLC25A13/GPC1/IRS2/NDST3/DDIT4/SPAG4/AK3/MXI1/B4GALT1/COG2/GOT1/ZNF292/ALDOA/SLC16A3/B4GALT7/PHKA2/SOX9/ADORA2B/COPB2/PPIA
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.0355956193609638	0.177978096804819	NA	0.17786564646405	99	CCND1/PMEPA1/TSC22D1/KRT19/LIFR/UBE2I/ACTN1/ALDH1A3/TMEM50A/KLK2/CCND3/CDC14B/ANKH/PTK2B/SRF/SORD/STEAP4/IDI1/ABCC4/RPS6KA3/NDRG1/KLK3/HMGCS1/AZGP1/STK39/MERTK/H1-0/SCD/ELL2/TNFAIP8/ELOVL5/DBI/PIAS1/GSR/SAT1/MAK/SLC26A2/NKX3-1/SELENOP/ITGAV/HMGCR/IQGAP2/PTPN21/GPD1L/MYL12A/RRP12/BMPR1B/AKAP12/XRCC5/FKBP5/HERC3/UAP1/SLC38A2/ADRM1/APPBP2/SMS/SGK1/DNAJB9/VAPA/AKT1/PA2G4/DHCR24/SRP19/PLPP1/SPCS3/CDK6/B4GALT1/RAB4A/ARID5B/ADAMTS1/XRCC6/CENPN/FADS1/TMPRSS2/ZMIZ1
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.0460101510149558	0.209137050067981	NA	0.119915820735537	191	MET/KCNJ2/TIMP1/PTPRE/GPC3/CHST2/HRH1/SCN1B/CD55/HPN/TNFSF15/IRAK2/CX3CL1/DCBLD2/EREG/RGS16/AHR/LY6E/OPRK1/ICAM1/ADM/MMP14/SLC4A4/GPR132/CCL17/CCL20/SPHK1/LYN/LPAR1/APLNR/RELA/FZD5/ROS1/TLR2/ABCA1/CXCL8/NMUR1/CD70/SLC7A2/TLR3/TNFAIP6/P2RX4/IFNGR2/CLEC5A/PLAUR/OSMR/HIF1A/GP1BA/MXD1/PSEN1/KCNMB2/CSF3/LAMP3/AQP9/CDKN1A/AXL/GPR183/NFKBIA/BEST1/EMP3/PCDH7/IL18R1/KLF6/CD48/TNFSF9/CCL24/MARCO/MYC/NAMPT/CCR7/NDP/IL7R/ITGB8/EBI3/CCL2/STAB1/LCK/CXCR6/ITGA5/BTG2/SLAMF1/CD40/CD69/IL18/CCL5/RIPK2/SELE/GNA15/OSM/ADRM1/PDE4B/MSR1/KCNA3/INHBA/CMKLR1/IL4R/TNFRSF1B/PDPN/LDLR/ABI1/TPBG/SELENOS/CSF3R/CCL22/NPFFR2/CD82/OLR1/CALCRL/SEMA4D/IL6/RHOG/ITGB3/IFNAR1/IL12B/IL15RA/KIF1B/LTA/CD14/IL15/BDKRB1/ATP2B1/PTAFR/LIF/CSF1/RAF1/ADGRE1/IL18RAP/SLC1A2/SELL/RGS1/ADORA2B/CXCL11/PTGIR/EDN1/HBEGF/SGMS2/TNFRSF9/ACVR2A/SLC7A1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__THCA_edgeR	tcga_cancer__THCA_edgeR	0.0532641560248317	0.221933983436799	NA	0.189838288130126	72	LGALS3/S100A11/LPL/ETHE1/CLU/CXCL16/PPARG/ANXA5/SC5D/CTNNB1/AVPR1A/IDI1/FDFT1/DHCR7/TM7SF2/HMGCS1/TP53INP1/TNFRSF12A/SCD/LGMN/ATF5/PLAUR/HSD17B7/ATXN2/NIBAN1/PDK3/CHKA/CD9/HMGCR/PNRC1/GNAI1/SQLE/TRIB3/JAG1/ACTG1/ALCAM/GUSB/FBXO6/ECH1/LSS/ERRFI1/LDLR/STARD4/FABP5/STX5/ABCA2/CPEB2/PLSCR1/FDPS/GLDC/MVD/ANTXR2/PCYT2/MVK/GSTM2
