pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.8872392820778955	0.9999972359633816		-0.33513419210984846	200	CD151;CS;APOE;TST;AIFM1;JAGN1;GPX4;DHRS7B;ANGPT1;CRAT;FABP4;LIFR;DRAM2;TANK;ACADM;COQ9;DLAT;COX7B;BAZ2A;MCCC1;CHCHD10;DNAJC15;SDHC;SCP2;PEX14;MYLK;HADH;PPM1B;CPT2;IDH1;RETSAT;ESRRA;UBC;HIBCH;ECHS1;GPD2;ELMOD3;SLC1A5;ARAF;GPX3;CDKN2C;CHUK;IMMT;SDHB;AGPAT3;RETN;CCNG2;BCL6;ACAA2;ACO2;SPARCL1;UQCR10;STOM;COX6A1;MGST3;NKIRAS1;DHRS7;ETFB;ENPP2;RIOK3;CYP4B1;COL4A1;ACADS;PTCD3;RMDN3;PEMT;DLD;ITSN1;SOWAHC;UQCRC1;PPP1R15B;LAMA4;ME1;G3BP2;UCP2;UQCRQ;RTN3;ATL2;YWHAG;TOB1;PRDX3;ATP1B3;PLIN2;ANGPTL4;CD36;POR;ACOX1;MGLL;RAB34;SLC66A3;UBQLN1;ITIH5;GPAT4;ADIPOR2;CAT;DBT;IDH3A;CAVIN2;UCK1;ALDOA;RREB1;APLP2;RNF11;GPHN;LPCAT3;SLC27A1;BCL2L13;ARL4A;SULT1A1;REEP5;PGM1;PHLDB1;ESYT1;NMT1;COX8A;NABP1;SLC25A1;CAVIN1;TALDO1;GBE1;MAP4K3;C3;GADD45A;STAT5A;CMPK1;PDCD4;NDUFAB1;ALDH2;MRPL15;IDH3G;PREB;VEGFB;PPARG;SAMM50;DGAT1;PHYH;SQOR
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.9051266585345025	0.9999972359633816		-0.3963949525052721	200	IL18;IL2RG;WAS;ST8SIA4;ABI1;HDAC9;NCF4;LCP2;RPL39;PTPRC;IL1B;WARS1;MMP9;FYB1;IKBKB;GZMA;KLRD1;CCL19;DEGS1;STAT1;CD4;RPS9;EGFR;CD40;JAK2;CD74;LY86;CD47;F2R;THY1;CCL5;CCND2;CD86;MTIF2;RARS1;IFNAR2;ELF4;CCR1;BRCA1;PSMB10;CCL13;SPI1;IRF8;RIPK2;CTSS;IRF7;MAP3K7;NCK1;CXCL9;LYN;EIF3A;CRTAM;PTPN6;RPL9;STAT4;AARS1;FAS;CXCL13;CSF1;GZMB;STAB1;NOS2;FCGR2B;CAPG;CD80;EIF4G3;GBP2;PRF1;GCNT1;FLNA;IL27RA;NME1;INHBA;B2M;TPD52;C2;CCL4;EREG;TLR2;CD3E;GLMN;ICAM1;ITGAL;HLA-E;CCL2;TIMP1;DARS1;CD7;PRKCB;SOCS5;BCL10;SOCS1;CCL7;FGR;IL10;SRGN;HCLS1;RPS19;EIF3J;IL6;CCND3;CFP;GPR65;GALNT1;TGFB1;UBE2D1;UBE2N;ACVR2A;HIF1A;ITGB2;AKT1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.6860218136187256	0.9999972359633816		-0.16126881600819973	101	BMPR1B;TMEM50A;SEC24D;ABCC4;SCD;DBI;LIFR;LMAN1;AKAP12;MAF;SPDEF;CDC14B;STK39;ACTN1;INPP4B;PA2G4;STEAP4;MAP7;SLC26A2;ELK4;RPS6KA3;GSR;CAMKK2;ELL2;XRCC6;DHCR24;PTK2B;UAP1;HPGD;HMGCS1;ARID5B;PIAS1;ADRM1;MERTK;ADAMTS1;KRT19;ZMIZ1;SRF;UBE2I;PGM3;H1-0;PLPP1;ZBTB10;HMGCR;SELENOP;B2M;GPD1L;TPD52;TMPRSS2;B4GALT1;HOMER2;SGK1;XRCC5;IDI1;SORD;TNFAIP8;GUCY1A1;ITGAV;KRT8;PMEPA1;CCND1;RAB4A;ACSL3;SLC38A2;ABHD2;RRP12;NGLY1;MYL12A;PDLIM5;APPBP2;SPCS3;TSC22D1;NCOA4;CCND3;AZGP1;CDK6;HERC3;AKT1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.4251906399052985	0.7873900738987009		0.2752629610597603	36	TIMP1;ITGAV;POSTN;PTK2;COL3A1;SPP1;S100A4;SLCO2A1;JAG1;TNFRSF21;THBD;OLR1;LUM;APP;CXCL6;COL5A2;FSTL1;VEGFA;VCAN;VAV2;LRPAP1;CCND2
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.014248109956778037	0.23746849927963395		0.9277012847356255	200	MPZL2;DLG1;BAIAP2;SGCE;TAOK2;SYMPK;NECTIN1;CRAT;PTPRC;VWF;PIK3CB;MMP9;SLIT2;RASA1;CDH1;FYB1;INPPL1;PFN1;SYK;CRB3;CAP1;MPZL1;GTF2F1;ACTN1;EGFR;HADH;MSN;ACTG1;TJP1;LAMC2;SDC3;ITGB4;LAMB3;THY1;MYH9;CD86;NECTIN2;CTNND1;NEXN;RHOF;PTK2;PIK3R3;AKT3;FSCN1;ADAM15;TSC1;GNAI1;MVD;NF1;CLDN4;CTNNA1;PKD1;VCL;ACTB;VCAN;VAV2;VASP;YWHAH;JUP;NEGR1;CD99;TIAL1;CDH11;AMIGO2;TGFBI;EXOC4;SIRPA;CDK8;IKBKG;LIMA1;MAPK14;RAC2;PARVA;RSU1;LAYN;SKAP2;WASL;ADAM9;STX4;MMP2;NECTIN4;DHX16;AKT2;SORBS3;PCDH1;B4GALT1;ARPC2;ITGA2;EPB41L2;ICAM1;ARHGEF6;BMP1;LAMA3;GNAI2;ACTG2;LDLRAP1;PALS1;TRAF1;CD274;NF2;MAPK13;PTEN;ICAM2;ITGA3;RRAS;SRC;MYL12B;MDK;CX3CL1;TSPAN4;TUBG1;FBN1;ACTN4;MYL9;CDH3
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.24388917223979276	0.6418136111573494		0.7616023088428974	44	GSTM3;IL2RG;CRYBG1;FLOT2;BRCA1;EFNA5;SRPX;ADIPOR2;AKAP7;APP;CROCC;DCBLD2;LYPD3;ATP8B1;ADAM10;PLAUR;B4GALT1;CX3CL1;LYN;NCOA6;SULF2;THY1
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.7863368918683159	0.9999972359633816		-0.24013811992901846	161	CASP6;IL18;SPTAN1;GSN;GPX4;DFFA;RHOT2;LMNA;CFLAR;DPYD;GCH1;IL1B;BAX;IL1A;CASP7;ERBB3;CASP2;RETSAT;TSPO;CASP1;MCL1;TIMP3;SOD2;EBP;GPX3;F2R;IRF1;GSR;ERBB2;IGF2R;CCND2;PEA15;IFITM3;ANXA1;PTK2;TNFRSF12A;BRCA1;ATF3;DDIT3;XIAP;CASP4;KRT18;BCL2L1;NEDD9;CASP3;HMOX1;DNAJC3;PAK1;CAV1;RNASEL;IGFBP6;MGMT;TIMP2;CASP9;BIK;GADD45B;JUN;SMAD7;CTNNB1;FAS;SATB1;DNM1L;H1-0;MADD;PLAT;PRF1;ETF1;WEE1;EGR3;CD69;MMP2;BGN;CREBBP;DCN;PPT1;BCAP31;CASP8;RARA;EREG;SC5D;BIRC3;CDC25B;BCL2L11;GPX1;GNA15;ISG20;TIMP1;PMAIP1;RHOB;ADD1;CCND1;CYLD;BCL10;ROCK1;TNFSF10;EMP1;DNAJA1;LUM;APP;PSEN1;DAP;GADD45A;IL6;PDCD4;CD14;PDGFRB;CD38;CD44;CDKN1A;TGFBR3
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.6087669504856926	0.9699881445818903		-0.0885464981760078	112	LONP2;SULT2B1;PAOX;PRDX5;ALDH9A1;PEX13;BCAR3;AQP9;DHCR24;CH25H;HACL1;ALDH1A1;ACSL5;HSD17B4;ABCD3;PEX26;ABCA5;SLC29A1;GNPAT;NR3C2;PNPLA8;ISOC1;PXMP2;SLC23A2;ABCD1;SCP2;GCLM;CAT;EFHC1;OPTN;HSD3B7;GSTK1;CROT;PEX19;IDH1;ABCA3;RETSAT;RXRA;PEX16;HSD17B11;MLYCD;ATXN1;TFCP2L1;RBP1;ABCA6;CYP7B1;SLC27A2;PHYH;IDI1;PEX7;PEX1;CYP27A1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.2811272062365994	0.6631629882567276		0.3717108824849799	74	FASN;PCYT2;GPX8;PLSCR1;SQLE;ATF5;LGMN;S100A11;FDPS;LDLR;FDFT1;TNFRSF12A;ACAT2;SCD;NIBAN1;ERRFI1;STX5;PDK3;ATF3;FBXO6;HMGCS1;JAG1;HMGCR;HSD17B7;GNAI1;TP53INP1;MVD;CPEB2;ANXA5;GUSB;SREBF2;NFIL3;ACTG1;MAL2;PNRC1;CXCL16;PLAUR;SC5D;CYP51A1;ALCAM;FABP5;TM7SF2;ATXN2;PPARG;ANTXR2;ACSS2;CHKA;EBP;IDI1;CD9;CTNNB1
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.12438587293116664	0.5103320426207129		0.5848912019472216	138	BMP1;USP11;TIMP1;CTSE;GSN;MAFF;ISCU;ANXA1;LGMN;SERPING1;HTRA1;PLAT;ARF4;FURIN;F3;CFI;GNB2;FN1;VWF;PLAU;PREP;CAPN5;MMP9;CFD;C1QA;C1R;LAMP2;S100A13;MMP7;FYN;ADAM9;THBD;CTSB;OLR1;MMP14;PEF1;MMP2;SERPINB2;C3;SPARC;MSRB2;THBS1;APOC1;FGG;ANG;CFH;C2;RAC1;SERPINE1;CFB;C1S;ITGA2;A2M;GNG12;CRIP2;F8;COMP;TIMP3;WDR1;CASP9;C9;RABIF;CTSK;CAPN2;PLEK;KLF7;P2RY1;FBN1;MMP10;LRP1;CD9;DUSP14;DUSP6;CTSH;PRSS23
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.15303819776611385	0.5103320426207129		0.3705807432740086	200	PDP1;GCA;MAFF;USP16;WAS;PIK3R5;SH2B3;S100A9;AKAP10;LCP2;CDH13;PCLO;PPP4C;GNB4;KYNU;GZMA;PFN1;DOCK4;MMP14;CTSD;CASP7;JAK2;CFH;GPD2;CASP1;PIM1;PLSCR1;IRF1;CCL5;CPM;CDA;CXCL1;GRB2;LGMN;SERPING1;IRF2;USP14;APOBEC3G;FN1;DOCK9;CA2;CP;S100A13;USP8;LAP3;CASP4;RBSN;CD46;APOC1;CASP3;CTSS;IRF7;PIK3CG;ME1;FCER1G;MT3;C1S;PLAUR;L3MBTL4;LYN;TIMP2;CASP9;C9;PLA2G4A;PRDM4;PRKCD;GZMB;CD36;CD55;EHD1;PLAT;F3;ITGAM;GNB2;LTF;PREP;ERAP2;LAMP2;RNF4;ADAM9;CTSB;OLR1;PRCP;ANXA5;STX4;ATOX1;SERPINB2;CTSL;S100A12;C2;KIF2A;CFB;RABIF;USP15;PLEK;PPP2CB;COL4A2;DUSP6;CTSH;TIMP1;DGKG;GNAI2;RAF1;ZEB1;CALM3;CEBPB;PIK3CA;DYRK2;DOCK10;C1QA;C1R;CALM1;HSPA5;FYN;LIPA;PSEN1;C3;VCPIP1;C1QC;CTSC;GMFB;RHOG;IL6;XPNPEP1;ANG;SRC;SERPINE1;CR1;DGKH;FCN1;PLA2G7;LRP1;F8
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.7401389066505344	0.9999972359633816		-0.19701737725094784	150	SURF1;POLD4;AAAS;EIF1B;GPX4;DGCR8;AK1;SRSF6;AGO4;POLB;BCAM;ELL;GUK1;UPF3B;GTF2F1;POLR2A;POLD3;POLR2F;DDB2;ADA;POLR2H;NME4;HPRT1;POLR2G;GTF2H5;CDA;NELFCD;SNAPC5;IMPDH2;NELFE;REV3L;CANT1;RNMT;POLR1D;RALA;NT5C3A;DAD1;POM121;VPS28;PCNA;ERCC4;CMPK2;POLR2J;RFC2;RAE1;ELOA;ADRM1;EDF1;POLR2K;NELFB;COX17;USP11;NFX1;DCTN4;SUPT4H1;LIG1;RBX1;TSG101;TP53;SMAD5;XPC;TAF9;VPS37B;SUPT5H;MPC2;CCNO;SDCBP;NME1;DDB1;ERCC3;RPA2;POLR1C;POLA1;NT5C;BCAP31;CSTF3;ARL6IP1;POLL;TARBP2;GTF3C5;TK2;NUDT9;GTF2A2;PDE4B;POLR3GL;PNP;STX3;UMPS;POLR3C;GMPR2;TAF6;SSRP1;HCLS1;GTF2H1;AK3;POLR2D;TAF12;ERCC8;RRM2B;BOLA2;POLE4;POLR2I;NME3;ALYREF
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__9f222629_wilcoxon	census_scrna__9f222629_wilcoxon	0.997837480223735	0.9999972359633816		-0.8388642527007589	200	LYAR;ING3;PDS5B;CCP110;KIF22;RANBP1;ASF1A;RAD51C;PPM1D;HUS1;TFRC;POLD3;SRSF1;PA2G4;HNRNPD;TUBB;CBX5;CDKN2C;CSE1L;ILF3;NAA38;XRCC6;H2AZ1;CDK4;SMC4;BRCA1;ATAD2;MLH1;UBE2S;CTCF;PCNA;ANP32E;CKS1B;JPT1;NAP1L1;PRPS1;BRCA2;RFC2;RAN;EZH2;RBBP7;RFC1;CDK1;SMC6;SMC3;DEK;PTTG1;HELLS;STAG1;NUP153;POLD2;POP7;PRIM2;LIG1;LMNB1;SMC1A;TP53;WEE1;IPO7;MCM4;GSPT1;NME1;NCAPD2;PNN;PRDX4;RPA2;SYNCRIP;DNMT1;ORC2;DCK;MSH2;PRKDC;MCM7;PSIP1;RPA1;SHMT1;CDC25B;CNOT9;MCM5;MYC;NUP107;DCTPP1;HMGB3;EED;EIF2S1;CIT;SSRP1;MRE11;CKS2;MCM3;RAD1;USP1;LUC7L3;HMGA1;DONSON;MTHFD2;SNRPB;TUBG1;NOLC1;POLE4;TMPO;BARD1;CDKN1A
