pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__UCEC_limma	tcga_cancer__UCEC_limma	0.181286549707602	0.302144249512671	1.09816421133893	NA	194	TALDO1;MTCH2;DHCR7;SLC19A1;UQCRQ;SLC5A6;COX6A1;SLC25A10;IDH1;TKT;CPT2;UQCRC1;ECHS1;UCP2;COX8A;NDUFS3;AIFM1;MRPL15;UQCR10;POR;AGPAT3;COQ9;GPX4;DGAT1;ACOX1;PFKL;COX7B;ESRRA;ALDOA;SLC25A1;CYC1;RREB1;ACLY
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	fgsea	tcga_cancer__UCEC_limma	tcga_cancer__UCEC_limma	0.25	0.358662613981763	1.06554460708825	NA	193	NME1;PTPN6;TAPBP;TPD52;EIF5A;MMP9;IFNGR2;CDKN2A;IRF7;BRCA1;CSK;MTIF2;TRAF2;CAPG;RIPK2;AKT1;MRPL3;MAP4K1;LYN;IL2RA;CD80;LTB;BCL3;TNF;GCNT1;STAT1;RARS1;HCLS1;SPI1;C2;WARS1;HLA-DMB;HLA-A;IL10;HIF1A;CCL7;NCF4;TLR2;EREG;TAP1;CCL22;CTSS;IL12RB1;CD28;IL18;IGSF6;WAS;IL2RG;IL11;ITGB2;IFNAR2;LY75;CXCL9;ICAM1;CD86;F2;LCK;CXCL13;FCGR2B;GALNT1;GZMB;CCR1;RPL3L;AARS1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	fgsea	tcga_cancer__UCEC_limma	tcga_cancer__UCEC_limma	0.251063829787234	0.358662613981763	1.07466233952064	NA	99	CENPN;DBI;SCD;KRT8;ADRM1;B4GALT1;GSR;TPD52;MAP7;RRP12;HMGCR;PA2G4;SORD;SAT1;DHCR24;TMPRSS2;AKT1;HOMER2
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	fgsea	tcga_cancer__UCEC_limma	tcga_cancer__UCEC_limma	0.364471669218989	0.433894844308321	-1.06763547878274	NA	33	CCND2;KCNJ8;THBD;POSTN;VTN;ITGAV;NRP1;FSTL1;LUM;SLCO2A1;JAG1;COL3A1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	fgsea	tcga_cancer__UCEC_limma	tcga_cancer__UCEC_limma	0.028042927101658	0.0584227647951208	-1.32912535613366	NA	194	MAP3K20;AKT3;FLNC;LAYN;MYL9;NFASC;SPEG;JAM3;ACTG2;TMEM8B;NLGN3;IRS1;PARVA;NEXN;PKD1;NEGR1;NRXN2;FBN1;SGCE;ARHGEF6;CD34;TSC1;VCL;RRAS;ACTN1;EGFR;COL16A1;ADAMTS5;CADM3;MAPK11;CLDN15;ZYX;CDH4;AMIGO1;WASL;KCNH2;PTEN;TJP1;ACTC1;CLDN5;TRO;MAPK14;NLGN2;ACTN2;GAMT;MYH10;TSPAN4;PARD6G;CLDN11;RASA1;SORBS3;CDH11;VCAM1;PPP2R2C;AMIGO2
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	fgsea	tcga_cancer__UCEC_limma	tcga_cancer__UCEC_limma	0.271407837445573	0.376955329785518	-1.11399709449239	NA	43	GAS1;AFAP1L2;SRPX;SLC2A4;TMEM8B;MDGA1;RTN4RL1;SULF2
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	fgsea	tcga_cancer__UCEC_limma	tcga_cancer__UCEC_limma	0.250309789343247	0.358662613981763	-1.10501263624251	NA	160	TGFBR3;CAV1;DPYD;IGFBP6;DCN;TIMP3;CCND2;GSN;PLAT;BCL2L2;FEZ1;TXNIP;SATB1;TIMP2;HGF;AVPR1A;ADD1;CDKN1B;JUN;PDCD4;FAS;RHOB;PDGFRB;RNASEL
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	fgsea	tcga_cancer__UCEC_limma	tcga_cancer__UCEC_limma	0.0698576972833118	0.13434172554483	-1.28972554806225	NA	106	ABCA8;SLC23A2;CYP7B1;ABCD2;PEX12;HSD17B6;NEDD4;PFKM;ABCA9;NR3C2;AR;HSD17B11;ALDH1A1;ABCA6;EPHX2;CROT;ATXN1;CYP46A1;MLYCD;RXRA;PIPOX
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	fgsea	tcga_cancer__UCEC_limma	tcga_cancer__UCEC_limma	0.00155778893096066	0.00486809040925206	1.66556923890097	NA	74	SCD;S100A11;FASN;DHCR7;TM7SF2;EBP;FDPS;CHKA;HMGCR;TMEM97;SQLE;MAL2;PLAUR;NSDHL;MVK;FBXO6;ATF5;HSD17B7;ACAT2;GLDC;PCYT2;ETHE1;LGMN;FADS2;TNFRSF12A;TRIB3;FABP5
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	fgsea	tcga_cancer__UCEC_limma	tcga_cancer__UCEC_limma	0.118836915297092	0.212208777316236	-1.2211448500556	NA	130	CSRP1;ACOX2;F10;CTSO;PROS1;TIMP3;GSN;ISCU;PLAT;CPQ;RGN;DCT;P2RY1;GNG12;FYN;FBN1;F8;CTSK;LRP1;KLF7;THBD;CAPN2;THBS1;C1S;SERPING1;LEFTY2
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	fgsea	tcga_cancer__UCEC_limma	tcga_cancer__UCEC_limma	0.700834326579261	0.745568432531129	-0.916966641712892	NA	196	ZFPM2;CSRP1;F10;CTSO;ZEB1;PLAT;CPQ;DOCK4;TIMP2;RBSN;JAK2;FYN;F8;PPP2CB;CD36;CDH13;LRP1;GNG2;AKAP10;CD59;DGKH;C1S;USP16;HSPA1A;APOBEC3G;SERPING1;KCNIP3;ACTN2;ANXA5;PRCP;C1R;USP8;DOCK9;CLU;DGKG;ME1;NOTCH4;CTSL;DPP4;LGALS3;F7;SH2B3;PIM1
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	MSigDB_Hallmark	fgsea	tcga_cancer__UCEC_limma	tcga_cancer__UCEC_limma	1.08975074041163e-09	6.05417078006459e-09	2.11121252089934	NA	148	ZWINT;FEN1;RAD51;PNP;NME1;RFC2;PCNA;TYMS;SEC61A1;STX3;POLR2H;NELFCD;ADRM1;LIG1;VPS37B;POLR1C;POLA2;POLR2G;TARBP2;GTF3C5;SAC3D1;GPX4;ARL6IP1;POLD1;ALYREF;RFC4;CANT1;POLR2D;ITPA;TAF9;CCNO;RFC3;SUPT5H;BCAP31;DGUOK;POLR2J;AAAS;HPRT1;RBX1;POLR3C;TP53;POLR2I;TAF13;POLR1H;GUK1;RAE1;RPA3;POLR2F;CSTF3;UMPS;HCLS1;ADA;MPC2;POLH;ERCC2;ZNF707
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	fgsea	tcga_cancer__UCEC_limma	tcga_cancer__UCEC_limma	7.57818020051265e-43	3.78909010025633e-41	3.13820411933039	NA	199	JPT1;MYBL2;MELK;CCNB2;ORC6;CDC20;BIRC5;CDCA8;SPAG5;KIF18B;TACC3;MKI67;DLGAP5;KPNA2;PLK1;TOP2A;ESPL1;AURKB;DEPDC1;EZH2;KIF4A;LMNB1;SPC25;UBE2T;ASF1B;BUB1B;KIF2C;CIT;TK1;CDCA3;HMMR;PTTG1;CDKN3;RRM2;AURKA;DIAPH3;CDC25A;SPC24;GINS1;KIF22;CKS2;HMGB3;TIMELESS;MCM4;RACGAP1;CHEK1;NME1;RAD51AP1;RFC2;E2F8;CDK1;PCNA;CENPE;PLK4;DDX39A;H2AX;CCNE1;BRCA2;TRIP13;DNMT1;CENPM;NCAPD2;GINS4;TUBG1;MAD2L1;CNOT9;H2AZ1;CHEK2;HMGA1;TBRG4;SNRPB;LIG1;MCM7;SUV39H1;UBE2S;POP7;CKS1B;HELLS;MCM5;TUBB;POLE;POLA2;ATAD2;CDKN2A;MTHFD2;BRCA1;HUS1;DCTPP1;POLD1;STMN1;MXD3;SMC4;MCM2;PA2G4;DSCC1;RANBP1;DONSON;MCM3;GINS3;MSH2;MCM6;RAN;TFRC;CSE1L;UNG
