pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.28205981865964724	0.40820373060412846		0.1884396105223465	200	CS;SUCLG1;SOD1;ARL4A;MDH2;REEP5;UQCR10;STOM;MIGA2;COX6A1;COX8A;COX7B;DHRS7;CHCHD10;SDHC;DNAJC15;ETFB;SCP2;TALDO1;MAP4K3;TKT;ECH1;PTCD3;CAVIN2;GADD45A;CMPK1;PDCD4;NDUFAB1;ALDOA;UBC;G3BP2;RREB1;APLP2;IDH3G;UQCR11;GHITM;TOB1;ATP1B3;SQOR;PLIN2
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	2.4805330826500017e-07	3.1006663533125023e-06		1.2870324685781065	200	TAP1;GZMB;TIMP1;IL2RG;RPS3A;CAPG;ABI1;GBP2;PRF1;SOCS1;CD3D;NCF4;LCP2;RPL39;CDKN2A;HLA-DRA;PTPRC;APBB1;FLNA;WARS1;NPM1;HLA-DQA1;LTB;CD8A;FGR;SPI1;CD247;STAT1;SRGN;IRF8;CXCR3;RPS9;ITK;RIPK2;KRT1;B2M;CTSS;IRF7;NCK1;IL16;GPR65;ETS1;TLR2;HIF1A;CD74;LYN;LCK;HLA-A;CD3G;IFNG;CD3E;GLMN;SIT1;ICAM1;RPL9;CD79A;CD47;HLA-E;HLA-DMB;IL2RA;PF4;FAS;CCND2
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.29025865337007	0.40820373060412846		0.27763228962251973	101	CAMKK2;TMEM50A;DBI;PTK2B;ACSL3;HPGD;ARID5B;MAF;MYL12A;SRP19;IQGAP2;SMS;ACTN1;B2M;ADRM1;SAT1;IDI1;HERC3;ELK4;ZMIZ1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.0003083292069104893	0.0019270575431905583		3.4295607913749815	36	APP;VCAN;S100A4;LRPAP1;TIMP1;FGFR1;PF4;CCND2
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.2738522137514424	0.40820373060412846		0.26534672761744144	200	GAMT;PTPRC;RAC2;CLDN5;AMIGO1;INPPL1;PFN1;SYK;ICAM2;STX4;HRAS;GTF2F1;ACTN1;ACTG1;ACTB;MYL12B;ARPC2;VCAN;VASP;YWHAH;PBX2;CD99;ICAM1;ITGB1
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.08397022422966449	0.19992910530872499		1.1057317870079297	44	APP;LYN;GATA3;IL2RG;CRYBG1;LYPD3;SULF2;PLAUR
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.0002028857220577843	0.0014491837289841735		1.0329758387774564	161	IFITM3;TAP1;GNA15;LEF1;ISG20;TIMP1;PMAIP1;CLU;GSN;SOD1;ANXA1;PRF1;BID;LMNA;TNFSF10;CFLAR;DPYD;VDAC2;DDIT3;BAX;DNAJA1;CD69;BTG2;CASP4;APP;CTNNB1;GADD45A;HMOX1;PDCD4;CREBBP;SAT1;BNIP3L;HMGB2;BCAP31;LGALS3;TSPO;CASP1;BIRC3;SOD2;EBP;CD38;JUN;BTG3;FAS;SATB1;CCND2
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.27921705730148455	0.40820373060412846		0.3488009591364167	112	LONP2;PEX26;OPTN;LCK;PRDX5;ABCA5;GSTK1;SOD1;SULT1B1;NR3C2;IDH2;IDI1;PFKM;HSD17B11;SCP2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.10502984045489329	0.2387041828520302		0.6058704455727534	74	NIBAN1;ETHE1;LGALS3;ECH1;PLSCR1;CLU;FBXO6;GUSB;S100A11;ACSS2;EBP;ACTG1;IDI1;PNRC1;CTNNB1;ANXA5;PLAUR;GSTM2
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.0010463368737140518	0.004467374337387319		1.4702365483183504	138	USP11;TIMP1;CTSO;CLU;GSN;ISCU;ANXA1;ARF4;SERPINA1;GNB2;PEF1;SPARC;CFH;CPQ;CAPN2;KLF7;PF4;LRP1;LTA4H;DUSP6
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	gseapy_enrichr	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.0006917381336336414	0.003842989631298008		0.9117419978046056	200	GZMB;CTSO;CDK5R1;TIMP1;CLU;ZEB1;SERPINA1;CEBPB;PIK3R5;PIK3CA;APOBEC3G;LCP2;GNB2;DYRK2;LRP1;GATA3;CALM1;PPP4C;HSPA5;RNF4;PFN1;ANXA5;STX4;LAP3;CASP4;CTSC;GMFB;RHOG;CTSS;CD59;IRF7;CTSL;SPOCK2;CFH;CPQ;PLAUR;LGALS3;LYN;CASP1;PSMB9;LCK;DUSP6;PIM1;TNFAIP3;PLSCR1;LTA4H;DUSP5
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	MSigDB_Hallmark	gseapy_enrichr	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.48654162814853874	0.5792162239863556		0.04748848900406364	150	USP11;SNAPC5;DCTN4;PDE4B;PNP;REV3L;LIG1;RBX1;DGCR8;UMPS;RALA;DGUOK;NT5C3A;DAD1;SRSF6;SUPT5H;PCNA;TAF6;APRT;GUK1;CMPK2;ERCC5;GTF2F1;AK3;POLR2F;ADRM1;BCAP31;EDF1;RPA3;POLR2K;POLR2I;COX17;ALYREF;POLR2E
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.4598740090830944	0.574842511353868		0.06261894757880002	200	ILF3;DCTPP1;XPO1;LYAR;LIG1;NAA38;PDS5B;H2AZ1;CDKN2A;PHF5A;PCNA;TIPIN;JPT1;PRDX4;CKS2;NAP1L1;PAN2;RAD21;SLBP;RAN;MXD3;KPNA2;LUC7L3;MSH2;TUBB;DONSON;HMGB2;PRKDC;HNRNPD;MTHFD2;MYC;SNRPB;RPA3;TMPO;CBX5;NUP205;STAG1
