pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	1.06212342068498e-09	5.31061710342489e-08	NA	0.363047337652967	199	PRIM2/MCM5/RAD51AP1/TK1/MYBL2/MCM7/AURKA/CDCA3/TIMELESS/SPAG5/ATAD2/DSCC1/ORC6/CKS1B/PSMC3IP/UBE2T/NCAPD2/KIF2C/AURKB/UBE2S/KIF18B/SPC24/KIF4A/CDKN3/MCM2/HMGB3/ILF3/ASF1B/TRIP13/ANP32E/BIRC5/MMS22L/KIF22/DONSON/TUBB/MCM6/CHEK1/BRCA1/PLK1/DNMT1/CCNB2/KPNA2/TACC3/STMN1/CDK4/MCM4/GINS1/RAD21/RANBP1/GINS4/MELK/CDCA8/MCM3/POLD1/BRCA2/NASP/CCNE1/CDC20/NUP107/TFRC/SHMT1/CDKN2A/MAD2L1/CHEK2/DCLRE1B/CDK1/HELLS/TIPIN/DLGAP5/RFC3/CKS2/SPC25/CENPM/TOP2A/RFC2/POLE/DDX39A/DEK/POLA2/DIAPH3/PCNA/PLK4/RACGAP1/BUB1B/CIT/RPA3/LIG1/SUV39H1/GINS3/HMMR/TCF19/DEPDC1/SSRP1/CENPE/PHF5A/CDC25B/RAD1/MKI67/PRKDC/PRPS1/SMC4/CDC25A/XPO1/HMGB2/DUT/H2AZ1/MTHFD2/H2AX/SMC6/PTTG1/WDR90/RRM2/RAD51C/TBRG4/LMNB1/CDKN2C/POP7/CSE1L/SNRPB/TUBG1/TMPO/EZH2/RPA1/MSH2/ORC2/PAICS/PNN/SLBP/HNRNPD/MXD3/MLH1/NOP56/PSIP1/DCTPP1/USP1/EED/NUDT21/NME1/SMC1A/TRA2B/UBR7/CBX5/RAN/UNG/DCK/CNOT9/NUP205/RAD50/POLD3/POLE4/ESPL1/WEE1/RFC1/LBR/JPT1/POLD2/HUS1/SMC3/SRSF1/NOLC1/HMGA1/XRCC6/CTPS1/BRMS1L/PAN2/CDKN1B/EIF2S1/PMS2
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	6.06979852376523e-07	1.51744963094131e-05	NA	0.307230810848841	197	E2F1/PRIM2/FANCC/MCM5/CDC6/MYBL2/AURKA/ORC6/CKS1B/EXO1/CHAF1A/CDC45/TPX2/TROAP/KIF2C/TGFB1/RAD54L/AURKB/HOXC10/UBE2S/UBE2C/KIF4A/GINS2/CDKN3/MCM2/HMGB3/ILF3/CENPA/CBX1/NDC80/BIRC5/KIF22/MCM6/CHEK1/CCNF/PLK1/KIF23/PRC1/FBXO5/CCNB2/KPNA2/TACC3/STMN1/CDK4/ODF2/NEK2/H2BC12/POLQ/RAD21/STIL/BUB1/MCM3/BRCA2/NASP/CDC20/CUL3/MAD2L1/CDK1/TRAIP/SMC2/RBL1/CENPF/CKS2/TOP2A/NSD2/POLE/DBF4/DDX39A/POLA2/ODC1/PLK4/RACGAP1/MEIS2/TTK/SUV39H1/DMD/HMMR/TNPO2/CDC7/EFNA5/SLC12A2/KNL1/EGF/BUB3/E2F3/ATF5/CENPE/CDC25B/TENT4A/DTYMK/MKI67/KIF11/SMC4/CDC25A/XPO1/H2AZ1/CCNA2/PML/FOXN3/H2AZ2/H2AX/PURA/PTTG1/PBK/KIF15/MEIS1/LMNB1/CDKN2C/HIF1A/TMPO/DKC1/EZH2/EWSR1/CUL5/MNAT1/E2F4/HNRNPU/KIF20B/RASAL2/SNRPD1/ORC5/MTF2/CDC27/HNRNPD/MARCKS/KATNA1/SMC1A/TRA2B/HIRA/SLC7A5/MAP3K20/CCNT1/NUMA1/RPS6KA5/SRSF10/ESPL1/ARID4A/UPF1/MT2A/LBR/SFPQ/AMD1/CUL4A/JPT1/HUS1/SQLE/SRSF1/NOLC1/HMGN2/HMGA1/YTHDC1/NUP50/CASP8AP2/SS18/SLC7A1/NOTCH2/SAP30/CDKN1B/TFDP1/KPNB1
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.000505747777880748	0.00842912963134581	NA	0.307794253558947	96	ISG15/STAT2/EIF2AK2/IRF9/PARP12/USP18/ADAR/BST2/PARP14/PROCR/IFI35/IFI44/LPAR6/RIPK2/IFIT2/LAMP3/RSAD2/EPSTI1/LY6E/PSMB9/WARS1/CXCL11/IFIT3/CMTR1/IFI44L/IFI27/NCOA7/CMPK2/HELZ2/TAP1/GMPR/CXCL10/IFIH1/TXNIP/PLSCR1/OASL/UBE2L6/DDX60/RTP4/IFITM1/IFI30/OGFR/LGALS3BP/SP110/BATF2/CCRL2/NMI/MX1/CASP8/IFITM3/PSME2/PARP9/PSMB8/HLA-C/DHX58/TRIM21/MOV10/IRF7/SAMD9L/PNPT1/LAP3/B2M/ISG20/ELF1/NUB1/IL15/OAS1/IRF1/PSMA3/SLC25A28/TMEM140/SELL/C1S/GBP4/IFITM2/PSME1/TDRD7/TRIM14
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.000813068847212219	0.00862104167025441	NA	0.285426440530493	105	CRISP2/RFC4/CLVS1/PEBP1/LPIN1/AURKA/NPY5R/PACRG/KIF2C/PRKAR2A/CDKN3/NCAPH/DMRT1/RPL39L/TOPBP1/CCNB2/CFTR/NEK2/GAD1/BUB1/PARP2/GFI1/CDK1/SPATA6/DBF4/SCG5/ELOVL3/PGS1/MTNR1A/TTK/ARL4A/ACRV1/DCC/DMC1/SLC12A2/TSN/TEKT2/ZC2HC1C/IL12RB2/ALOX15/GRM8/NEFH/IDE/CAMK4/PHKG2/SCG3/ART3/VDAC3/EZH2/TCP11/CCT6B/NPHP1/STAM2/NOS1/PCSK1N/IL13RA2/CNIH2/HSPA1L/CCNA1/SLC2A5/CSNK2A2/SNAP91/MLF1/JAM3/TNNI3/PSMG1/TALDO1/MAST2/IP6K1/ADCYAP1/CLPB/COIL/YBX2/MLLT10/ACRBP/POMC/CHRM4/STRBP/SIRT1/LDHC/MAP7/PHF7/TKTL1/SHE
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.000862104167025441	0.00862104167025441	NA	0.211813211764808	196	GPX3/LPIN1/PPP1R3C/ADAM12/FST/ACTN3/TGFB1/STC2/MYL7/SORBS1/AGRN/SH3BGR/FOXO4/APOD/GADD45B/ABLIM1/COL4A2/COX7A1/CFD/HSPB8/ACSL1/AGL/HDAC5/COL6A3/COL1A1/SVIL/CRAT/PKIA/MYH4/COL3A1/MYOM2/SPARC/SOD3/MYOM1/PFKM/FABP3/CRYAB/CKMT2/PDE4DIP/ITGB4/SIRT2/ENO3/ERBB3/FHL1/DMD/LDB3/RYR1/ANKRD2/CAMK2B/CLU/FXYD1/TPD52L1/MYOZ1/TPM2/ATP2A1/COL6A2/MYL3/PYGM/PTGIS/GSN/SGCA/COX6A2/TNNC2/CASQ1/SGCG/AEBP1/TNNT3/TNNI2/CAV3/ACHE/SPDEF/HRC/BIN1/MB/ITGB5/PRNP/DTNA/CKM/SPEG/MEF2C/MYL6B/ITGA7/CACNG1/GABARAPL2/DMPK/SPHK1/AK1/TNNC1/MYH7/MYH9/IGFBP7/TNNT1/PDLIM7/DAPK2/TPM3/IGF1/MYF6/MYL2/MYH2/TCAP/APP/MYL1/TNNI1/SMTN/CD36/BHLHE40/SLN/ACTN2/KIFC3/AKT2/CNN3/DES/KCNH1/NOS1/GAA/ACTA1/PTP4A3/MYH1/KLF5/SLC6A8/MYH8/CASQ2/NCAM1/IGFBP3/LSP1/PPFIA4/ITGB1/ADCY9/SGCD/HBEGF/MYH11/FLII/CHRNB1/LAMA2/CSRP3/MYOG/SSPN/SH2B1/MYBPC3/CACNA1H/GNAO1/SCD/MAPRE3/CHRNG/MEF2D/MEF2A/TNNT2/BAG1/MYH3
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.00381592054728354	0.0317993378940295	NA	0.252923800843163	101	HAO2/ABCD3/ALDH9A1/SCP2/CACNA1B/RETSAT/HSD17B4/ISOC1/SCGB1A1/SIAH1/SLC25A4/EPHX2/ACAA1/ACOX1/ACSL1/YWHAH/DIO1/RXRG/MLYCD/CRAT/HSD11B2/TOP2A/ALB/IDH2/ABCC5/SLC25A17/ABCD1/PEX11A/CLN8/CAT/ERCC3/ABCB1/IDE/STS/SULT2B1/VPS4B/ABCB9/GNPAT/PEX11B/EHHADH/MSH2/ABCB4/SLC27A2/GSTK1/CLN6/HMGCL/DHRS3/ECH1/FADS1/ABCD2/ITGB1BP1/CRABP1/CRABP2/SLC25A19/CDK7/ESR2/BCL10/ALDH1A1/SLC35B2/SLC23A2/TSPO/CEL/IDH1/FABP6/UGT2B17/DHCR24/IDI1/PRDX1/SOD2/HSD3B7/LONP2/PABPC1/SEMA3C/CTPS1/ACOT8/CADM1/ELOVL5/RDH11/FIS1
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.0200208934702591	0.13658154139077	NA	0.145174052739868	197	EIF4E3/ISG15/STAT2/EIF2AK2/ISOC1/IRF9/PARP12/SOCS1/USP18/ADAR/BST2/PARP14/IFI35/OAS2/XAF1/IFI44/RIPK2/IFIT2/CCL7/PSMA2/RSAD2/EPSTI1/LY6E/PSMB9/WARS1/NLRC5/CXCL11/ARL4A/IFIT3/OAS3/CMTR1/XCL1/STAT1/IFI44L/IFIT1/IFI27/GBP6/IL18BP/ARID5B/CMPK2/CCL5/HELZ2/HLA-G/TAP1/PSMB2/CXCL10/IFIH1/SOCS3/TXNIP/PLSCR1/ZBP1/OASL/HLA-B/UBE2L6/NUP93/DDX60/PML/RTP4/MTHFD2/HLA-A/IFI30/CXCL9/IFNAR2/OGFR/LGALS3BP/TOR1B/KLRK1/SP110/ZNFX1/TAPBP/BTG1/MX2/BATF2/GZMA/IDO1/PIM1/HIF1A/NMI/CCL2/MX1/STAT4/CD86/TNFSF10/IL15RA/CASP8/IFITM3/PTGS2/PTPN6/PTPN2/PSME2/IL6/CD274/PSMB8/FCGR1A/SELP/VCAM1/RNF213/DHX58/CD38/TRIM21/LCP2/TNFAIP3/CD40/ICAM1/SLAMF7/MARCHF1/PTPN1/IRF7/SAMD9L/PNPT1/LAP3/CFH/B2M/ISG20/CMKLR1/PDE4B/MYD88/IRF4/IL15/IL2RB/ST3GAL5/BPGM/RBCK1/P2RY14/MT2A/SSPN/IRF1/NAMPT/PSMA3/SOD2/SLC25A28/C1S/GBP4/IFITM2/PSME1/PELI1/IL10RA/STAT3/VAMP8/FGL2/TDRD7/TNFAIP2/TRIM14
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.0245990480367779	0.13658154139077	NA	0.147922916780558	176	HTR1D/SLC38A3/CPEB3/GP2/SLC16A7/SOX10/NGB/KRT4/GPR19/CD80/BRDT/ZBTB16/SLC25A23/SCGB1A1/PRKN/SHOX2/TEX15/SKIL/KRT13/CHST2/NUDT11/HSD11B2/SPRR3/ABCB11/SLC5A5/RSAD2/MSH5/MAGIX/TENM2/STAG3/GAMT/CNTFR/CCR8/DCC/RYR1/IFI44L/SLC30A3/BTG2/EGF/TLX1/TFAP2B/THRB/CPA2/CPB1/ZC2HC1C/PDK2/ATP6V1B1/ITGB1BP2/FGGY/COL2A1/HNF1A/MYOT/CAPN9/KCND1/MFSD6/TFCP2L1/PLAG1/GTF3C5/CKM/NPHS1/CACNG1/CD207/SPTBN2/IFNG/P2RX6/SIDT1/MYH7/NR4A2/TCF7L1/MX1/TFF2/ENTPD7/KCNMB1/NRIP2/CLDN8/SMPX/ARPP21/KLHDC8A/SLC12A3/MEFV/COQ8A/TGM1/NOS1/GPRC5C/MYO15A/CD40LG/SERPINB2/MTHFR/FGF22/CACNA1F/RGS11/COPZ2/LFNG/UPK3B/SYNPO/LYPD3/NTF3/HTR1B/CCNA1/EFHD1/SNCB/EDAR/SELENOP/TAS2R4/PNMT/WNT16/CAMK1D/TNNI3/ITIH3/NR6A1/IGFBP2/UGT2B17/RYR2/KCNQ2/ADRA2C/DTNB/PTGFR/RIBC2/PDCD1/GPR3/CLDN16/SLC29A3/YBX2/ABCG4/CHRNG/CYP39A1/FGFR3/BMPR1B
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.0249636772148586	0.13658154139077	NA	0.159895558446634	150	HMGCS2/HAO2/SUCLG2/ENO2/ETFDH/ALDH9A1/CA6/PDHB/GPD1/AQP7/ACADM/MCEE/MGLL/ACADL/RETSAT/HSD17B4/HIBCH/CPT2/ACADVL/TP53INP2/HPGD/CA4/CIDEA/ACAA1/HADHB/ACOX1/ACSL1/YWHAH/SUCLG1/INMT/SMS/MLYCD/HADH/BCKDHB/CRAT/ALAD/ODC1/ACO2/ACSM3/ALDH3A2/HSDL2/ENO3/MDH1/DLD/IL4I1/SDHD/ECHS1/ACADS/PDHA1/H2AZ1/UBE2L6/MDH2/LGALS1/FH/AOC3/EPHX1/REEP6/ACAA2/AUH/MAOA/CYP1A1/HSP90AA1/EHHADH/PRDX6/NCAPH2/CD36/DECR1/HMGCL/BPHL/GLUL/SUCLA2/HMGCS1/ECH1/PCBD1/APEX1/CPOX/ADSL/TDO2/PPARA/ALDOA/RDH16/SERINC1/ADH1C/ALDH3A1/ALDH1A1/PTPRG/SLC22A5/NTHL1/CEL/FASN/IDH1/CBR3/OSTC/D2HGDH/DHCR24/IDI1/ADH7/GPD2/HSPH1/SDHC/PSME1/GABARAPL1/FMO1/ACOT8/GRHPR/BMPR1B/ME1/ELOVL5/RDH11/IDH3G
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.027316308278154	0.13658154139077	NA	0.192317036139011	100	GPD1L/STK39/PMEPA1/CENPN/HPGD/PDLIM5/AZGP1/SMS/NGLY1/SLC26A2/ALDH1A3/TMPRSS2/DBI/ITGAV/HOMER2/ARID5B/ACSL3/RAB4A/ABCC4/NCOA4/CDK6/SPDEF/IQGAP2/NKX3-1/LIFR/KLK3/CAMKK2/UAP1/UBE2J1/ACTN1/ELK4/ELL2/AKAP12/STEAP4/HMGCS1/ADAMTS1/GUCY1A1/FADS1/ADRM1/PLPP1/UBE2I/PIAS1/ZMIZ1/B2M/HMGCR/SELENOP/TNFAIP8/TSC22D1/MAK/PTPN21/DHCR24/SPCS3/IDI1/PGM3/VAPA/SEC24D/B4GALT1/INSIG1/NDRG1/PTK2B/HSD17B14/SCD/GNAI3/SRF/XRCC6/MERTK/AKT1/SORD/XRCC5/FKBP5/APPBP2/MAP7/BMPR1B/ELOVL5/DNAJB9
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.0466696400431926	0.212134727469057	NA	0.120477034378888	199	COLGALT1/ENO2/SERPINH1/MMP14/MCM7/BMP1/SNAI2/LOXL2/PLOD3/ADAM12/FBN2/INHBA/TGFBI/P3H1/POSTN/LAMC2/COL12A1/PMEPA1/TGFB1/COL4A1/COL5A2/COL5A3/PLOD2/ITGA5/COL5A1/LAMA3/RGS4/MATN3/COL7A1/PLOD1/COL11A1/MGP/GADD45B/PTHLH/COL4A2/CALU/FAP/COL6A3/TGFBR3/CTHRC1/SNTB1/CDH11/FN1/COL1A1/FLNA/NID2/FSTL3/TNC/ECM1/CAP2/COL3A1/SPARC/COL1A2/SFRP1/COL16A1/SERPINE1/ABI3BP/LAMC1/ITGAV/LUM/PFN2/NTM/TNFRSF12A/TPM2/COL6A2/LAMA1/LRRC15/EMP3/GREM1/BGN/VEGFC/PVR/SGCG/APLP1/VEGFA/LGALS1/ITGB5/VCAN/EDIL3/THBS2/BASP1/MEST/CALD1/FOXC2/WIPF1/NT5E/CDH2/MXRA5/PDGFRB/CD59/LOXL1/SPP1/GLIPR1/TFPI2/COL8A2/HTRA1/MMP3/LOX/GJA1/TPM1/CDH6/GPC1/JUN/GPX7/CXCL12/IL6/THY1/DKK1/PLAUR/VCAM1/MMP1/SLIT3/SERPINE2/TNFAIP3/SLC6A8/ID2/CXCL8/IGFBP3/SCG2/ITGB1/FBLN5/SGCD/IL15/PCOLCE/PTX3/LAMA2/FUCA1/IGFBP2/ELN/CD44/MMP2/GADD45A/SPOCK1/GAS1/PPIB/BDNF/CCN1/PCOLCE2/WNT5A/CADM1/NOTCH2/QSOX1
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.0515330381514575	0.214720992297739	NA	0.167822474218263	99	ABCD3/ALDH9A1/HSD17B6/SCP2/ABCA8/RETSAT/HSD17B4/NUDT12/RBP1/ISOC1/PIPOX/EPHX2/CH25H/ACSL1/HSD3B1/DIO1/PHYH/RXRG/MLYCD/NR3C2/IDH2/GNMT/PFKM/APOA1/DIO2/LIPE/ABCD1/PEX11A/CAT/CROT/PEX19/PEX7/ABCA9/TFCP2L1/ABCA1/SULT2B1/ABCA5/GNPAT/SULT1B1/AR/AMACR/SLC27A2/GSTK1/PEX1/ABCA6/FADS1/CYP7B1/PECR/CYP27A1/ABCD2/PNPLA8/AQP9/PEX26/SOAT2/HACL1/ALDH1A1/SLC35B2/SLC23A2/IDH1/NPC1/LCK/DHCR24/IDI1/SLC23A1/SLCO1A2/HSD3B7/ABCA4/LONP2/FADS2/BBOX1/ABCG4/CYP39A1/CYP8B1
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.0972271339999635	0.373950515384475	NA	0.215037112639095	42	ATP6V0A4/MAL/DCBLD2/BRCA1/PCSK9/SLC2A4/EPHB4/PKHD1/SULF2/RHCG/EFNA5/ADAM10/AFAP1L2/CRYBG1/SCUBE1/APP/SLC34A3/THY1/PLAUR/MDGA1/IL2RG/TMEM8B/LYPD3/NTNG1/NCOA6/IL2RB/AKAP7/CROCC/GAS1/B4GALT1/GATA3/SRPX
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_edgeR	tcga_cancer__HNSC_edgeR	0.134217228716596	0.479347245416413	NA	0.0833347989220056	197	SERPINH1/AURKA/GMPS/PLOD2/MCM2/HPRT1/GOT1/TM7SF2/CCNF/RPN1/PLK1/CCNG1/MCM4/GBE1/HSP90B1/BUB1/TFRC/P4HA1/STARD4/USO1/PGM1/DDX39A/BCAT1/WARS1/SHMT2/ELOVL6/BTG2/GLA/ACSL3/YKT6/CTSC/ASNS/CDC25A/CACYBP/SLC2A1/CCT6A/DDIT3/MTHFD2/IFI30/ATP2A2/SLC1A4/PSPH/RRM2/CALR/XBP1/NMT1/ACLY/PSMA4/TUBG1/TRIB3/ETF1/STIP1/TCEA1/GSK3B/MAP2K3/RPA1/TXNRD1/HSPD1/HSPA5/PSMC2/DAPP1/PSMD14/BHLHE40/PDK1/EIF2S2/IGFBP5/HSPA9/SYTL2/HMGCS1/SLC1A5/VLDLR/ITGB2/QDPR/DHFR/FADS1/PNO1/CXCR4/HSPE1/TES/NIBAN1/SLC7A11/TOMM40/SDF2L1/LTA4H/PSAT1/ALDOA/NFYC/UNG/UBE2D3/SLC7A5/NUP205/SLA/HMGCR/PSMB5/TPI1/PGK1/IDH1/PPP1R15A/PITPNB/PSMC4/M6PR/DHCR24/EGLN3/IDI1/PSMG1/SERP1/PSMD13/CYB5B/PDAP1/PRDX1/IMMT/NAMPT/EPRS1/PSMA3/INSIG1/LGMN/ABCF2/ATP5MC1/TMEM97/SQLE/SCD/PPIA/FADS2/EDEM1/STC1/SORD/ARPC5L/UCHL5/HSPA4/FGL2/ME1/ELOVL5/DHCR7/RDH11/ENO1/ATP6V1D/CD9
