pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	2.3851706819471e-06	0.000119258534097355	NA	0.351624562590108	161	ISG15/PSMB2/PDE4B/IFI44L/IFI44/GBP4/VCAM1/TXNIP/ADAR/SLAMF7/RSAD2/EIF2AK2/PNPT1/PELI1/MTHFD2/VAMP8/VAMP5/NMI/IFIH1/STAT1/STAT4/CASP8/SP110/MYD88/PARP14/PLSCR1/TNFSF10/LAP3/HERC6/BANK1/NFKB1/MARCHF1/DDX60/IRF2/GZMA/ST8SIA4/ISOC1/CD74/IRF4/HLA-A/HLA-B/HLA-DRB1/HLA-DQA1/PSMB8/PSMB9/TAP1/HLA-DMA/TAPBP/PIM1/TNFAIP3/SOD2/PSMA2/AUTS2/SRI/SAMD9L/NAMPT/BPGM/IL7/LY6E/RIGI/TDRD7/TRIM14/IFITM2/UBE2L6/SERPING1/IL10RA/PFKP/IL15RA/CASP7/PTPN6/C1S/ITGB7/STAT2/BTG1/TRAFD1/OAS3/OAS2/EPSTI1/GPR18/PSME1/PSME2/IRF9/NFKBIA/PSMA3/HIF1A/WARS1/B2M/LYSMD2/ISG20/CIITA/SOCS1/IL4R/MVP/MT2A/NLRC5/PSMB10/XAF1/CCL5/STAT3/IFI35/SOCS3/RNF213/RBCK1/SAMHD1/ZNFX1/PTPN1/OGFR/HELZ2/BST2/IFI30/USP18/APOL6/IL2RB/IFNAR2/MX2/MX1/CD38/FAS/RNF31/CD274/GCH1/CXCL9/RAPGEF6/P2RY14/KLRK1
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.000342030698443279	0.00760949375696585	NA	0.288299141001473	144	EIF4G3/GBP2/GLMN/CSF1/CD2/CTSS/CD247/PTPRC/IL10/DEGS1/MTIF2/CAPG/CD8A/CD8B/DARS1/ACVR2A/STAT1/STAT4/CD28/CCR5/TRAT1/CD96/MRPL3/TLR1/RPL9/CXCL13/RPS3A/FYB1/GZMA/F2R/ST8SIA4/CD74/IRF4/HLA-A/HLA-E/LTB/HLA-DRA/HLA-DQA1/TAP1/HLA-DMB/HLA-DMA/TAPBP/CCND3/MAP3K7/HDAC9/TIMP1/IL2RG/RPL39/LYN/IL7/TPD52/CDKN2A/CCL19/SIT1/CD3E/CD3D/CD3G/CRTAM/ABI1/UBE2D1/SRGN/PRF1/EIF3A/CCND2/CD4/PTPN6/BCAT1/UBE2N/GZMB/HIF1A/GPR65/WARS1/B2M/CSK/IL16/SOCS1/IGSF6/PRKCB/IL4R/ITGAL/PSMB10/AARS1/EIF5A/CCL5/CCL4/NME1/CD7/GALNT1/MMP9/IL27RA/MAP4K1/RPS19/BCL3/RPS9/IL2RB/IFNAR2/IFNGR2/ITGB2/FAS/CD79A/IFNG/ITK/ZAP70/FASLG/CD80/CXCL9/CXCR3
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.000456569625417951	0.00760949375696585	NA	0.411902574514217	63	GPX7/JUN/TGFBR3/VCAM1/NOTCH2/QSOX1/ID2/CAPG/WIPF1/ITGAV/COL3A1/COL5A2/FN1/COL6A3/ABI3BP/SGCB/ITGA2/VCAN/DST/TNFAIP3/COL1A2/CALU/TIMP1/LOXL2/GEM/SNTB1/ECM2/CD59/CD44/CADM1/VIM/ITGB1/ACTA2/ENO2/ITGA5/GLIPR1/DCN/POSTN/FBN1/TPM1/PPIB/IL32/COL1A1/PMEPA1/TPM4/EMP3/LGALS1/COL6A2/FAS/ADAM12/SGCD
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.000610558286472588	0.00763197858090735	NA	0.359205151424555	82	ISG15/IFI44L/IFI44/GBP2/GBP4/CSF1/MOV10/TXNIP/ADAR/SELL/RSAD2/EIF2AK2/PNPT1/NMI/IFIH1/CASP8/SP110/PARP14/PLSCR1/LAP3/HERC6/DDX60/IRF2/CD74/HLA-C/PSMB8/PSMB9/TAP1/TENT5A/NCOA7/SAMD9/SAMD9L/TMEM140/NUB1/IL7/LY6E/TDRD7/TRIM14/IFITM2/IFITM1/TRIM5/UBE2L6/C1S/STAT2/TRAFD1/OAS1/EPSTI1/PSME1/PSME2/IRF9/PSMA3/WARS1/B2M/ISG20/IL4R/IFI35/PROCR/OGFR/HELZ2/BST2/IFI30/USP18/MX1/RNF31
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.00230210775236849	0.0230210775236849	NA	0.276184564656657	114	SPSB1/JUN/PDE4B/CSF1/MCL1/ID2/FOSL2/REL/PLEK/MXD1/DUSP2/KYNU/NR4A2/TANK/IFIH1/BHLHE40/BCL6/TNIP2/NFKB1/IL7R/IL6ST/TNFAIP8/DUSP1/SQSTM1/CD83/TAP1/MARCKS/SGK1/TNFAIP3/SOD2/NAMPT/DUSP4/ZBTB10/GEM/TRIB1/RIGI/B4GALT1/KLF9/NFIL3/NR4A3/DENND5A/CD44/RELA/BIRC3/BIRC2/KLF6/IL15RA/PFKFB3/MAP3K8/EGR2/DUSP5/PTPRE/SLC2A3/PHLDA1/ATP2B1/BTG1/DRAM1/TSC22D1/GPR183/NFKBIA/SMAD3/BCL2A1/LITAF/NFAT5/KDM6B/CCL5/CCL4/EIF1/SLC16A6/SOCS3/B4GALT5/PMEPA1/JUNB/KLF2/BCL3/RELB/FOSB/PPP1R15A/BTG3/IFNGR2/TNFRSF9/PANX1/CD80/GCH1
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.00647438693432482	0.0518451061302546	NA	0.279693350433796	88	PDE4B/CSF1/SLAMF1/CD48/SELL/RGS1/IL10/CD55/EIF2AK2/MXD1/IL18R1/ACVR2A/NMI/ATP2C1/TNFSF10/TLR1/NFKB1/IL7R/TAPBP/AHR/SRI/NAMPT/CYBB/TIMP1/LYN/LY6E/IFITM1/RHOG/CD82/RELA/IL10RA/KLF6/IL15RA/ABI1/PTPRE/ITGA5/ATP2B1/ATP2A2/P2RX7/P2RX4/SLC7A1/GPR183/NFKBIA/HIF1A/PSEN1/RASGRP1/SELENOS/IL4R/CCL5/CCR7/ADRM1/BST2/EMP3/IL2RB/IFNAR1/IFNGR2/TNFRSF9/SLC4A4/ITGB8/CD70/GCH1/IRAK2/CXCL9/NOD2/CXCR6
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.00725831485823565	0.0518451061302546	NA	0.229091856676397	129	TNFRSF18/TNFRSF4/DHRS3/GBP4/LRRC8C/CSF1/SYT11/CD48/UCK2/SELL/RABGAP1L/MAPKAPK2/IL10/LCLAT1/GALM/MXD1/CAPG/IL18R1/ITGA6/ITGAV/HYCC2/ICOS/BHLHE40/EOMES/LRIG1/NFKBIZ/PLSCR1/TNFSF10/RHOH/PLPP1/CDC42SE2/ADAM19/IRF4/CD83/LTB/PIM1/CCND3/SNX14/SMPDL3A/PLAGL1/SNX9/IGF2R/AHR/PHTF2/ABCB1/HIPK2/IL3RA/HUWE1/NDRG1/TTC39B/NFIL3/PTCH1/CD81/DENND5A/SWAP70/CD44/AHNAK/IL10RA/DCPS/KLF6/MAP3K8/P4HA1/GSTO1/CCND2/NOP2/SLC2A3/IKZF4/PHLDA1/P2RX4/PRKCH/BATF/GPR65/MYO1E/RORA/SOCS1/IL4R/ITGAE/PTRH2/CD79B/SYNGR2/CST7/CTSZ/GPX4/SLC1A5/XBP1/IL2RB/TIAM1/IKZF2/TNFRSF9/CAPN3/SLC39A8/CTLA4
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.0430127861480591	0.250281110723165	NA	0.411902574514218	21	CROCC/CD160/MAL/CRYBG1/AKAP7/HSPB1/IL2RG/LYN/B4GALT1/AFAP1L2/ADIPOR2/ATP8B1/NCOA6/IL2RB/APP/MDGA1/EFNA5
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.0450505999301698	0.250281110723165	NA	0.49436473470619	14	S100A4/ITGAV/COL3A1/COL5A2/LRPAP1/VCAN/TIMP1/FGFR1/PTK2/CCND2/POSTN/APP
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.0549619654227695	0.250898111460971	NA	0.278636043650754	42	S100A11/FDPS/NIBAN1/CTNNB1/PLSCR1/CPEB2/ANTXR2/ANXA5/HMGCS1/HMGCR/STARD4/GUSB/CYP51A1/PDK3/EBP/FDFT1/CLU/FABP5/TP53INP1/SQLE/NFIL3/ABCA2/FADS2/STX5/SCD/ATXN2/LGALS3/ACTG1/ETHE1/LSS/GLDC
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.0551975845214137	0.250898111460971	NA	0.160363807518253	125	WRAP73/JUN/DNTTIP2/TXNIP/S100A10/S100A4/PTPN14/COQ8A/MXD1/TPRKB/VAMP8/MAPKAPK3/RAP2B/RCHY1/FBXW7/CDKN2AIP/F2R/HINT1/GM2A/CCNG1/RACK1/H1-2/TAP1/CCND3/FOXO3/RPS12/KIF13B/PVT1/NDRG1/CDKN2A/NOL8/ELP1/STOM/AK1/RALGDS/NOTCH1/CTSD/CD81/RRP8/CD82/DDB2/SLC3A2/ZBTB16/DDIT4/PTPRE/CCND2/H2AJ/LDHB/IRAG2/VDR/SP1/DGKA/MDM2/BTG1/APAF1/DRAM1/ISCU/TRAFD1/TSC22D1/RB1/CGRRF1/CCNK/RPS27L/ABAT/SOCS1/TP53/HEXIM1/TOB1/PITPNC1/RHBDF2/PCNA/PROCR/BLCAP/ADA/RPL36/IFI30/RPL18/PPP1R15A/BAX/APP/PRMT2/FAS/TP63/SLC35D1/ERCC5
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.0602169861293475	0.250904108872281	NA	0.136213326588487	163	ENO1/PRDX1/PIK3R3/RIT1/CACYBP/NIBAN1/UCHL5/SLC1A4/ACTR2/MTHFD2/ACTR3/CXCR4/PSMD14/HSPD1/HSPE1/IDH1/TUBA4A/ACSL3/BHLHE40/GSK3B/RPN1/SERP1/GMPS/TFRC/USO1/DAPP1/UBE2D3/ELOVL6/HMGCS1/HMGCR/STARD4/HSPA4/ETF1/CCNG1/SQSTM1/SSR1/EEF1E1/SKAP2/PPIA/CYP51A1/PSMC2/NAMPT/NUP205/INSIG1/EBP/PGK1/GLA/HPRT1/G6PD/GSR/COPS5/SQLE/SLA/NFIL3/ARPC5L/HSPA5/GTF2H1/LDHA/FADS2/FADS1/SYTL2/CTSC/PPA1/DDIT4/P4HA1/SCD/ADD3/ADIPOR2/GAPDH/TPI1/SLC2A3/M6PR/BCAT1/TBK1/LTA4H/HSP90B1/TXNRD1/ATP2A2/UFM1/NUFIP1/EGLN3/ERO1A/PSMC6/PSMA3/ATP6V1D/RDH11/WARS1/PSMA4/SEC11A/GGA2/CORO1A/CYB5B/RPA1/ACACA/ATP5MC1/EIF2S2/CALR/IFI30/NFKBIB/SLC1A5/PPP1R15A/SDF2L1/PITPNB/XBP1/PSMG1/ITGB2/SLC7A5/CCNF/BUB1
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.0827118370465331	0.307849287632702	NA	0.237589319344079	46	IFI44L/COQ8A/RSAD2/DTNB/NR4A2/MFSD6/BARD1/SIDT1/SKIL/SELENOP/CDKAL1/SGK1/STAG3/PTPRJ/ZBTB16/CAMK1D/MACROH2A2/CPEB3/CLSTN3/KMT2D/ASB7/MAST3/RYR1/MX1/TG/IFNG/CD80/CALCB/GPR19/PRKN/PDCD1/ENTPD7/MSH5
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.0923289871336049	0.307849287632702	NA	0.453722750208845	12	CRMP1/RASA1/CDK6/DPYSL2/PTCH1/LDB1/TLE3/ADGRG1/NF1/MYH9
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.0926023605341392	0.307849287632702	NA	0.111729032267376	181	MFN2/ATP6V0B/UQCRH/ACADM/MGST3/HADHA/HADHB/COX7A2L/MDH1/COX5B/SLC25A12/ATP5MC3/MTX2/NDUFB3/IDH1/ACAA1/UQCRC1/SLC25A20/ALAS1/TOMM70/COX17/NDUFB4/NDUFB5/OPA1/ATP5ME/NDUFC1/ETFDH/NDUFS6/MTRR/NNT/NDUFS4/COX7C/UQCRQ/VDAC1/NDUFA2/ATP6V0E1/NQO2/COX7A2/NDUFA4/CYCS/OGDH/MDH2/ATP5MF/NDUFA5/ATP6V1F/NDUFB2/SLC25A6/ABCB7/COX7B/SLC25A5/NDUFA1/IDH3G/ATP6AP1/VDAC3/ATP6V1H/DECR1/UQCRB/COX6C/CYC1/FXN/SURF1/LDHA/PDHX/NDUFS3/COX8A/NDUFV1/NDUFS8/TCIRG1/CPT1A/NDUFC2/ACAT1/FDX1/TIMM8B/ATP5MG/VDAC2/GLUD1/NDUFB8/CASP7/PRDX3/NDUFA9/PHB2/LDHB/ATP5MC2/CS/SLC25A3/ISCU/COX6A1/TIMM9/ATP6V1D/DLST/NDUFB1/COX5A/IDH2/RHOT2/NDUFAB1/GOT2/COX4I1/ATP5MC1/ATP5PD/ACAA2/IDH3B/ATP5F1E/GPX4/ATP5F1D/NDUFS7/UQCR11/NDUFA7/NDUFB7/UQCRFS1/COX6B1/BAX/ETFB/NDUFA3/UQCR10/NDUFA6/ATP5PF/ATP5PO/COX10/ATP6V0C
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.0985117720424646	0.307849287632702	NA	0.219257496571822	48	JUN/CSF1/HAX1/IL18R1/STAM2/STAT1/MYD88/CXCL13/IL6ST/LTB/PIM1/IL3RA/IL2RG/IL7/CD44/IL15RA/MAP3K8/TNFRSF1A/A2M/STAT2/IRF9/SOCS1/IL4R/STAT3/SOCS3/PTPN1/TYK2/IL17RA/IL10RB/IFNAR1/IFNGR2/CD38/FAS/CXCL9
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.180827793905129	0.505380304893642	NA	0.394829061155276	10	AKT3/SPCS1/SRPRB/ELP4/VDR/FOXO1/SRP14/SEC11A
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.189406559334601	0.505380304893642	NA	0.0961707455907609	123	C1QA/C1QC/CTSS/FCER1G/F5/CD55/CR1/CD46/PLEK/KYNU/GPD2/GCA/CASP10/FN1/GNAI2/CBLB/PLSCR1/CP/GNB4/RNF4/LAP3/ANXA5/IRF2/GZMK/GZMA/ERAP2/ATOX1/HSPA1A/PSMB9/BRPF3/PIM1/PREP/FYN/TNFAIP3/GNB2/TIMP1/LAMP2/CTSB/CLU/ADAM9/LYN/ZFPM2/HSPA5/CTSD/RHOG/CD59/SERPING1/PRCP/CTSC/FDX1/ZEB1/DUSP5/CASP7/C1S/USP15/DYRK2/LTA4H/SH2B3/DGKH/DOCK9/GZMB/GNG2/GMFB/LGALS3/PSEN1/CALM1/RASGRP1/USP8/CTSH/PPP4C/PFN1/CCL5/L3MBTL4/SIRT6/C3/APOC1/CALM3/APOBEC3G/PHEX/CR2
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.192044515859584	0.505380304893642	NA	0.0743091606607221	192	RPL22/SRM/PSMB2/PABPC4/ILF2/CCT3/HDGF/HNRNPU/ACP1/YWHAQ/XPO1/CCT4/PCBP1/SNRPG/CCT7/PSMD14/HSPD1/HSPE1/EEF1B2/PSMD1/RPL14/EXOSC7/IMPDH2/TOMM70/CNBP/TRA2B/DHX15/HNRNPD/EIF4E/H2AZ1/RPL34/AP3S1/VDAC1/ETF1/NHP2/RACK1/DEK/MRPS18B/LSM2/RPS10/SRSF3/HSP90AB1/SYNCRIP/TCP1/HNRNPA2B1/CBX3/PSMA2/POLD2/PPIA/CUL1/EIF1AX/PRDX4/PGK1/CSTF2/HPRT1/VBP1/VDAC3/COPS5/PABPC1/CYC1/RPS6/IARS1/RAD23B/SET/EIF4G2/PSMA1/LDHA/RPS3/DDX21/NOLC1/PRDX3/BUB3/PHB2/HNRNPA1/PA2G4/CCT2/SLC25A3/RPL6/RPLP0/RAN/TFDP1/HNRNPC/PSMA6/PSMC6/ERH/COX5A/PSMA4/SNRPA1/RPS2/RNPS1/RSL1D1/NDUFAB1/TUFM/GOT2/PSMD7/KARS1/C1QBP/PSMB3/KPNB1/PHB1/NME1/SRSF2/TYMS/SNRPD1/TXNL4A/NOP56/PCNA/SNRPB2/EIF2S2/PSMA7/LSM7/PSMD8/SNRPD2/RPL18/PRPF31/RPS5/TRIM28/CDC45/RANBP1/UBE2L3/SNRPD3/CCNA2/U2AF1
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.233901896800955	0.584754742002387	NA	0.120112850273847	62	FDPS/RIT1/MEF2D/LPIN1/COL3A1/COL6A3/BHLHE40/WWTR1/EIF4A2/IGFBP7/ACSL1/MEF2C/ATP6AP1/CLU/AK1/NOTCH1/LSP1/SVIL/ITGB1/SCD/ABLIM1/MYL6B/RB1/DAPK2/MEF2A/TSC2/ADCY9/KIFC3/GABARAPL2/FLII/HDAC5/COL1A1/SYNGR2/RYR1/LARGE1/MYH9/APP/COL6A2/GNAO1/ADAM12/SGCD
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.248031715932982	0.590551704602337	NA	0.0874005359630286	99	ENO1/JUN/S100A4/FOSL2/UGP2/NAGK/KDM3A/CXCR4/HDLBP/BHLHE40/CP/LXN/KLHL24/RBPJ/CCNG2/PLAC8/MAP3K1/PAM/DUSP1/GCNT2/PIM1/ZNF292/FOXO3/TNFAIP3/PDK3/ATP7A/PGK1/IDS/BNIP3L/TPD52/EXT1/NDRG1/GRHPR/NFIL3/HSPA5/LDHA/PRDX5/PFKP/KLF6/PFKFB3/HK1/DDIT4/P4HA1/GAPDH/TPI1/ENO2/SLC2A3/CDKN1B/DCN/BTG1/ERO1A/ANXA2/RORA/ISG20/MT2A/WSB1/JMJD6/PPP1R15A/GYS1/MIF/TPST2/LARGE1/MYH9/NOCT
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.314988908126074	0.690182750718664	NA	0.0718521148651999	86	RER1/VAMP3/PPT1/ATP1A1/SEC22B/SCAMP3/VAMP4/ARF1/COG2/GOLGA4/AP2M1/USO1/SEC31A/SEC24D/ARFIP1/CLCN3/SCAMP1/PAM/AP3S1/SNX2/DST/STX7/IGF2R/RAB9A/RPS6KA3/YIPF6/ATP7A/GLA/LAMP2/VAMP7/ATP6V1H/TPD52/RAB14/CTSC/STAM/SGMS1/GBF1/M6PR/DNM1L/CD63/TMED2/CLN5/TMX1/TMED10/AP2B1/NAPG/LMAN1/VPS4B/ARFGEF2/RAB22A/GNAS/AP2S1/MAPK1/ARFGAP3/SOD1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.317484065330585	0.690182750718664	NA	0.16421613301386	22	ADAM17/CTNNB1/RBPJ/LEF1/TCF7/MAML1/CUL1/PTCH1/NOTCH1/CCND2/NCOR2/NUMB/AXIN1/TP53/HDAC5
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	clusterProfiler_ORA	census_scrna__67b6b9ac_wilcoxon	census_scrna__67b6b9ac_wilcoxon	0.356257705310245	0.742203552729678	NA	0.095268779296368	40	PRDX1/LAMTOR5/PRDX6/STK25/NDUFB4/ATOX1/IPCEF1/SOD2/PRDX4/G6PD/MSRA/GSR/TXN/LSP1/CAT/PFKP/TXNRD1/SELENOS/GPX4/CDKN2D/JUNB/PRDX2/FTL/NDUFA6/SOD1/ABCC1
