pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	7.27967584414897e-10	3.63983792207449e-08	NA	0.367778351318031	199	ANP32E/ASF1B/ATAD2/AURKA/AURKB/BIRC5/BRCA1/BRCA2/BRMS1L/BUB1B/CBX5/CCNB2/CCNE1/CDC20/CDC25A/CDC25B/CDCA3/CDCA8/CDK1/CDK4/CDKN1B/CDKN2A/CDKN2C/CDKN3/CENPE/CENPM/CHEK1/CHEK2/CIT/CKS1B/CKS2/CNOT9/CSE1L/CTPS1/DCK/DCLRE1B/DCTPP1/DDX39A/DEK/DEPDC1/DIAPH3/DLGAP5/DNMT1/DONSON/DSCC1/DUT/EED/ESPL1/EZH2/GINS1/GINS3/GINS4/H2AX/H2AZ1/HELLS/HMGA1/HMGB2/HMGB3/HMMR/HNRNPD/HUS1/ILF3/JPT1/KIF18B/KIF22/KIF2C/KIF4A/KPNA2/LBR/LIG1/LMNB1/MAD2L1/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MELK/MKI67/MLH1/MMS22L/MSH2/MTHFD2/MXD3/MYBL2/MYC/NASP/NCAPD2/NME1/NOLC1/NOP56/NUDT21/NUP107/NUP205/ORC2/ORC6/PAICS/PAN2/PCNA/PHF5A/PLK1/PLK4/PNN/POLA2/POLD1/POLD2/POLD3/POLE/POLE4/POP7/PPM1D/PRIM2/PRKDC/PRPS1/PSIP1/PSMC3IP/PTTG1/RACGAP1/RAD1/RAD21/RAD50/RAD51AP1/RAD51C/RAN/RANBP1/RFC1/RFC2/RFC3/RPA1/RPA3/RRM2/SHMT1/SLBP/SMC1A/SMC3/SMC4/SMC6/SNRPB/SPAG5/SPC24/SPC25/SRSF1/SSRP1/STMN1/SUV39H1/TACC3/TBRG4/TCF19/TFRC/TIMELESS/TIPIN/TK1/TMPO/TOP2A/TRA2B/TRIP13/TUBB/TUBG1/UBE2S/UBE2T/UBR7/UNG/USP1/WDR90/WEE1/XPO1/XRCC6
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	1.13003408940224e-05	0.000282508522350561	NA	0.275435948488791	197	AMD1/ARID4A/ATF5/AURKA/AURKB/BIRC5/BRCA2/BUB1/BUB3/CASP8AP2/CBX1/CCNA2/CCNB2/CCNF/CCNT1/CDC20/CDC25A/CDC25B/CDC27/CDC45/CDC6/CDC7/CDK1/CDK4/CDKN1B/CDKN2C/CDKN3/CENPA/CENPE/CENPF/CHAF1A/CHEK1/CKS1B/CKS2/CUL3/CUL4A/CUL5/DBF4/DDX39A/DKC1/DMD/DTYMK/E2F1/E2F3/E2F4/EFNA5/EGF/ESPL1/EWSR1/EXO1/EZH2/FANCC/FBXO5/FOXN3/GINS2/H2AX/H2AZ1/H2AZ2/H2BC12/HIF1A/HIRA/HMGA1/HMGB3/HMGN2/HMMR/HNRNPD/HNRNPU/HOXC10/HUS1/ILF3/JPT1/KATNA1/KIF11/KIF15/KIF20B/KIF22/KIF23/KIF2C/KIF4A/KNL1/KPNA2/LBR/LMNB1/MAD2L1/MAP3K20/MARCKS/MCM2/MCM3/MCM5/MCM6/MEIS1/MEIS2/MKI67/MNAT1/MTF2/MYBL2/MYC/NASP/NDC80/NEK2/NOLC1/NOTCH2/NSD2/NUMA1/NUP50/ODC1/ODF2/ORC5/ORC6/PBK/PLK1/PLK4/PML/POLA2/POLE/POLQ/PRC1/PRIM2/PTTG1/PURA/RACGAP1/RAD21/RAD54L/RASAL2/RBL1/RPS6KA5/SFPQ/SLC12A2/SLC7A1/SLC7A5/SMC1A/SMC2/SMC4/SNRPD1/SQLE/SRSF1/SRSF10/STIL/STMN1/SUV39H1/TACC3/TENT4A/TGFB1/TMPO/TNPO2/TOP2A/TPX2/TRA2B/TRAIP/TROAP/TTK/UBE2C/UBE2S/UPF1/XPO1/YTHDC1
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.000211462461283364	0.00352437435472274	NA	0.23578044429279	196	ABLIM1/ACHE/ACSL1/ACTA1/ACTN2/ACTN3/ADAM12/ADCY9/AEBP1/AGL/AGRN/AK1/AKT2/ANKRD2/APOD/APP/ATP2A1/BAG1/BHLHE40/BIN1/CACNA1H/CACNG1/CAMK2B/CASQ1/CASQ2/CAV3/CD36/CFD/CHRNB1/CHRNG/CKM/CKMT2/CLU/CNN3/COL1A1/COL3A1/COL4A2/COL6A2/COL6A3/COX6A2/COX7A1/CRAT/CRYAB/CSRP3/DAPK2/DENND2B/DES/DMD/DMPK/DTNA/ENO3/ERBB3/FABP3/FHL1/FLII/FOXO4/FST/FXYD1/GAA/GABARAPL2/GADD45B/GNAO1/GPX3/GSN/HBEGF/HDAC5/HRC/HSPB8/IGF1/IGFBP3/IGFBP7/ITGA7/ITGB1/ITGB4/ITGB5/KCNH1/KIFC3/KLF5/LAMA2/LDB3/LPIN1/LSP1/MAPK12/MAPRE3/MB/MEF2A/MEF2C/MEF2D/MRAS/MYBPC3/MYF6/MYH1/MYH11/MYH2/MYH3/MYH4/MYH7/MYH8/MYH9/MYL1/MYL2/MYL3/MYL6B/MYL7/MYOG/MYOM1/MYOM2/MYOZ1/NCAM1/NOS1/PDE4DIP/PDLIM7/PFKM/PKIA/PPFIA4/PPP1R3C/PRNP/PTGIS/PTP4A3/PYGM/RYR1/SCD/SGCA/SGCD/SGCG/SH2B1/SH3BGR/SIRT2/SLC6A8/SLN/SMTN/SOD3/SORBS1/SPARC/SPDEF/SPEG/SPHK1/SSPN/STC2/SVIL/TCAP/TGFB1/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPD52L1/TPM2/TPM3
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.00217757942876181	0.0272197428595227	NA	0.275050561805349	96	ADAR/B2M/BATF2/BST2/C1S/CASP8/CCRL2/CMPK2/CMTR1/CXCL10/CXCL11/DDX60/DHX58/EIF2AK2/ELF1/EPSTI1/GBP4/GMPR/HELZ2/HLA-C/IFI27/IFI30/IFI35/IFI44/IFI44L/IFIH1/IFIT2/IFIT3/IFITM1/IFITM2/IFITM3/IL15/IRF1/IRF7/IRF9/ISG15/ISG20/LAMP3/LAP3/LGALS3BP/LPAR6/LY6E/MOV10/MX1/NCOA7/NMI/NUB1/OAS1/OASL/OGFR/PARP12/PARP14/PARP9/PLSCR1/PNPT1/PROCR/PSMA3/PSMB8/PSMB9/PSME1/PSME2/RIPK2/RSAD2/RTP4/SAMD9L/SELL/SLC25A28/SP110/STAT2/TAP1/TMEM140/TRIM21/TXNIP/UBE2L6/USP18/WARS1
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.00861020006434492	0.074823243786525	NA	0.190621780644643	150	ACAA1/ACAA2/ACADL/ACADM/ACADS/ACADVL/ACAT2/ACO2/ACOT8/ACOX1/ACSL1/ACSM3/ADH1C/ADH7/ADSL/ALAD/ALDH1A1/ALDH3A1/ALDH3A2/ALDH9A1/ALDOA/AOC3/APEX1/AQP7/AUH/BCKDHB/BMPR1B/BPHL/CA4/CA6/CBR3/CD36/CIDEA/CPOX/CPT2/CRAT/CRYZ/CYP1A1/D2HGDH/DECR1/DHCR24/DLD/ECH1/ECHS1/EHHADH/ENO2/ENO3/EPHX1/ETFDH/FASN/FH/FMO1/GABARAPL1/GLUL/GPD1/GPD2/GRHPR/GSTZ1/H2AZ1/HADH/HADHB/HAO2/HIBCH/HMGCL/HMGCS1/HMGCS2/HPGD/HSD17B4/HSDL2/HSP90AA1/HSPH1/IDH1/IDH3G/IDI1/IL4I1/INMT/LGALS1/LTC4S/MAOA/MCEE/MDH1/MDH2/ME1/MGLL/MLYCD/NCAPH2/NTHL1/ODC1/OSTC/PCBD1/PDHA1/PDHB/PPARA/PRDX6/PSME1/PTPRG/RDH16/REEP6/RETSAT/SDHC/SDHD/SERINC1/SLC22A5/SMS/SUCLA2/SUCLG1/SUCLG2/TDO2/TP53INP2/UBE2L6/UROS/YWHAH
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.0090272138660795	0.074823243786525	NA	0.175021743474077	176	ABCB11/ABCG4/ARPP21/ATP6V1B1/BMPR1B/BRDT/BTG2/CACNA1F/CACNG1/CAMK1D/CAPN9/CCDC106/CCNA1/CCR8/CD207/CD40LG/CD80/CHRNG/CHST2/CKM/CLDN16/CLDN8/CNTFR/COL2A1/COPZ2/COQ8A/CPA2/CPB1/CPEB3/CYP39A1/DCC/DTNB/EDAR/EFHD1/EGF/ENTPD7/EPHA5/FGF22/FGFR3/FGGY/GAMT/GDNF/GP2/GPR19/GPR3/GPRC5C/GTF3C5/HNF1A/HSD11B2/HTR1B/HTR1D/IFI44L/IFNG/IGFBP2/ITGB1BP2/ITIH3/KCND1/KCNMB1/KLHDC8A/KRT13/KRT4/LFNG/LYPD3/MAGIX/MEFV/MFSD6/MSH5/MTHFR/MX1/MYH7/MYO15A/MYOT/NGB/NOS1/NPHS1/NR4A2/NR6A1/NRIP2/NTF3/NUDT11/P2RX6/PDCD1/PDK2/PLAG1/PNMT/PRKN/PTGFR/RGS11/RIBC2/RSAD2/RYR1/RYR2/SCGB1A1/SELENOP/SERPINB2/SHOX2/SIDT1/SKIL/SLC12A3/SLC16A7/SLC25A23/SLC29A3/SLC30A3/SLC38A3/SLC5A5/SLC6A14/SMPX/SNCB/SOX10/SPRR3/SPTBN2/STAG3/SYNPO/TAS2R4/TCF7L1/TENM2/TENT5C/TEX15/TFAP2B/TFCP2L1/TFF2/TGM1/THRB/TLX1/TNNI3/UPK3B/VPS50/YBX2/ZBTB16/ZC2HC1C
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.0107999383361849	0.074823243786525	NA	0.219768126304159	105	ACRBP/ACRV1/ADCYAP1/ALOX15/ARL4A/ART3/AURKA/BUB1/CAMK4/CCNA1/CCNB2/CCT6B/CDK1/CDKN3/CFTR/CLPB/CLVS1/CNIH2/COIL/CRISP2/CSNK2A2/DBF4/DCC/DMC1/DMRT1/ELOVL3/EZH2/GAD1/GFI1/GRM8/HSPA1L/IDE/IL12RB2/IP6K1/JAM3/KIF2C/LPIN1/MAP7/MAST2/MLF1/MLLT10/MTNR1A/NCAPH/NEFH/NEK2/NOS1/NPHP1/NPY5R/PACRG/PARP2/PEBP1/PGS1/PHF7/PHKG2/POMC/PRKAR2A/PSMG1/RAD17/RFC4/RPL39L/SCG3/SCG5/SHE/SIRT1/SLC12A2/SLC2A5/SNAP91/SPATA6/STAM2/STRBP/TALDO1/TCP11/TKTL1/TNNI3/TOPBP1/TSN/TTK/VDAC3/YBX2/ZC2HC1C
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.011971719005844	0.074823243786525	NA	0.220660607026026	101	ABCB1/ABCB4/ABCB9/ABCC5/ABCC8/ABCD1/ABCD2/ABCD3/ACAA1/ACOT8/ACOX1/ACSL1/ALB/ALDH1A1/ALDH9A1/BCL10/CACNA1B/CADM1/CAT/CDK7/CLN6/CLN8/CRABP1/CRABP2/CRAT/CTPS1/DHCR24/DHRS3/DIO1/ECH1/EHHADH/EPHX2/ERCC3/ESR2/FABP6/FADS1/FIS1/GNPAT/GSTK1/HAO2/HMGCL/HSD11B2/HSD17B4/HSD3B7/IDE/IDH1/IDH2/IDI1/ISOC1/ITGB1BP1/LONP2/MLYCD/MSH2/NUDT19/PABPC1/PEX11A/PEX11B/PRDX1/RETSAT/RXRG/SCGB1A1/SCP2/SEMA3C/SIAH1/SLC23A2/SLC25A17/SLC25A19/SLC25A4/SLC27A2/SLC35B2/SOD2/STS/SULT2B1/TOP2A/TSPO/VPS4B/YWHAH
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.0246195731067214	0.136775406148452	NA	0.197048049804076	100	ABCC4/ACSL3/ACTN1/ADAMTS1/ADRM1/AKAP12/AKT1/ALDH1A3/APPBP2/ARID5B/AZGP1/B2M/B4GALT1/BMPR1B/CAMKK2/CDK6/CENPN/DBI/DHCR24/DNAJB9/ELK4/ELL2/FADS1/FKBP5/GNAI3/GPD1L/GSR/GUCY1A1/HMGCR/HMGCS1/HOMER2/HPGD/HSD17B14/IDI1/INSIG1/IQGAP2/ITGAV/KLK3/LIFR/MAP7/MERTK/NCOA4/NDRG1/NGLY1/NKX3-1/PDLIM5/PGM3/PIAS1/PLPP1/PMEPA1/PTK2B/PTPN21/RAB4A/RPS6KA3/SCD/SEC24D/SELENOP/SLC26A2/SMS/SORD/SPCS3/SPDEF/SRF/STEAP4/STK39/TMPRSS2/TNFAIP8/TSC22D1/UAP1/UBE2I/UBE2J1/VAPA/XRCC5/XRCC6/ZMIZ1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.0287240572147259	0.14362028607363	NA	0.13533226531766	199	ABI3BP/ADAM12/APLP1/BASP1/BDNF/BGN/BMP1/CADM1/CALD1/CALU/CAP2/CCN1/CD44/CD59/CDH11/CDH2/CDH6/COL11A1/COL12A1/COL16A1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL5A3/COL6A2/COL6A3/COL7A1/COL8A2/COLGALT1/CTHRC1/CXCL12/CXCL8/DKK1/ECM1/EDIL3/ELN/EMP3/ENO2/FAP/FBLN5/FBN1/FBN2/FLNA/FN1/FOXC2/FSTL3/FUCA1/GADD45A/GADD45B/GJA1/GLIPR1/GPC1/GPX7/GREM1/HTRA1/ID2/IGFBP2/IGFBP3/IL15/IL6/INHBA/ITGA5/ITGAV/ITGB1/ITGB5/JUN/LAMA1/LAMA2/LAMA3/LAMC1/LAMC2/LGALS1/LOX/LOXL1/LOXL2/LRRC15/LUM/MATN3/MCM7/MEST/MGP/MMP1/MMP14/MMP2/MMP3/MXRA5/NID2/NOTCH2/NT5E/NTM/OXTR/P3H1/PCOLCE/PCOLCE2/PDGFRB/PFN2/PLAUR/PLOD1/PLOD2/PLOD3/PMEPA1/POSTN/PPIB/PTHLH/PTX3/PVR/QSOX1/RGS4/SERPINE1/SERPINE2/SERPINH1/SFRP1/SGCD/SGCG/SLC6A8/SLIT2/SLIT3/SNAI2/SNTB1/SPARC/SPOCK1/SPP1/TFPI2/TGFB1/TGFBI/TGFBR3/THBS2/THY1/TNC/TNFAIP3/TNFRSF12A/TPM1/TPM2/VCAM1/VCAN/VEGFA/VEGFC/WIPF1/WNT5A
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.0502950112681571	0.228613687582532	NA	0.11931674657151	197	ADAR/ARID5B/ARL4A/B2M/BATF2/BPGM/BST2/BTG1/C1S/CASP8/CCL2/CCL5/CCL7/CD274/CD38/CD40/CD86/CFH/CMKLR1/CMPK2/CMTR1/CXCL10/CXCL11/CXCL9/DDX60/DHX58/EIF2AK2/EIF4E3/EPSTI1/FCGR1A/FGL2/GBP4/GBP6/GZMA/HELZ2/HIF1A/HLA-A/HLA-B/HLA-G/ICAM1/IDO1/IFI27/IFI30/IFI35/IFI44/IFI44L/IFIH1/IFIT1/IFIT2/IFIT3/IFITM2/IFITM3/IFNAR2/IL10RA/IL15/IL15RA/IL18BP/IL2RB/IL6/IRF1/IRF4/IRF7/IRF9/ISG15/ISG20/ISOC1/KLRK1/LAP3/LCP2/LGALS3BP/LY6E/MARCHF1/MTHFD2/MX1/MX2/MYD88/NAMPT/NLRC5/NMI/NUP93/OAS2/OAS3/OASL/OGFR/P2RY14/PARP12/PARP14/PDE4B/PELI1/PIM1/PLSCR1/PML/PNPT1/PSMA2/PSMA3/PSMB2/PSMB8/PSMB9/PSME1/PSME2/PTGS2/PTPN1/PTPN2/PTPN6/RBCK1/RIPK2/RNF213/RSAD2/RTP4/SAMD9L/SELP/SLAMF7/SLC25A28/SOCS1/SOCS3/SOD2/SP110/SPPL2A/SSPN/ST3GAL5/STAT1/STAT2/STAT3/STAT4/TAP1/TAPBP/TNFAIP3/TNFSF10/TOR1B/TRIM21/TXNIP/UBE2L6/USP18/VAMP8/VCAM1/WARS1/XAF1/XCL1/ZBP1/ZNFX1
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.0921507451318695	0.383961438049456	NA	0.0985581864047121	197	ABCF2/ACLY/ACSL3/ALDOA/ARPC5L/ASNS/ATP2A2/ATP5MC1/ATP6V1D/AURKA/BCAT1/BHLHE40/BTG2/BUB1/CACYBP/CALR/CANX/CCNF/CCNG1/CCT6A/CD9/CDC25A/CTSC/CXCR4/CYB5B/DAPP1/DDIT3/DDX39A/DHCR24/DHFR/EDEM1/EGLN3/EIF2S2/ELOVL6/ENO1/EPRS1/ERO1A/ETF1/FADS1/FGL2/GBE1/GLA/GMPS/GOT1/GSK3B/GSR/HMGCR/HMGCS1/HPRT1/HSP90B1/HSPA4/HSPA5/HSPA9/HSPD1/HSPE1/IDH1/IDI1/IFI30/IGFBP5/IMMT/INSIG1/ITGB2/LGMN/LTA4H/M6PR/MAP2K3/MCM2/MCM4/ME1/MTHFD2/NAMPT/NFYC/NIBAN1/NMT1/NUP205/P4HA1/PDAP1/PDK1/PGK1/PGM1/PITPNB/PLK1/PLOD2/PNO1/PPIA/PPP1R15A/PRDX1/PSAT1/PSMA3/PSMA4/PSMB5/PSMC2/PSMC4/PSMD13/PSMD14/PSMG1/PSPH/QDPR/RPA1/RPN1/RRM2/SCD/SDF2L1/SERP1/SERPINH1/SHMT2/SLA/SLC1A4/SLC1A5/SLC2A1/SLC37A4/SLC7A11/SLC7A5/SORD/SQLE/SQSTM1/STARD4/STC1/STIP1/SYTL2/TCEA1/TES/TFRC/TM7SF2/TMEM97/TOMM40/TPI1/TRIB3/TUBG1/TXNRD1/UBE2D3/UCHL5/UNG/USO1/VLDLR/WARS1/XBP1/YKT6
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.109089151727336	0.419573660489755	NA	0.132476048507992	99	ABCA1/ABCA4/ABCA5/ABCA6/ABCA8/ABCA9/ABCD1/ABCD2/ABCD3/ABCG4/ACSL1/ALDH1A1/ALDH9A1/AMACR/AQP9/AR/BBOX1/CAT/CH25H/CROT/CYP27A1/CYP39A1/CYP7B1/DHCR24/DIO1/DIO2/EPHX2/FADS1/GNMT/GNPAT/GSTK1/HACL1/HSD17B4/HSD17B6/HSD3B1/HSD3B7/IDH1/IDH2/IDI1/ISOC1/LCK/LIPE/LONP2/MLYCD/NPC1/NR3C2/NUDT12/PECR/PEX1/PEX11A/PEX12/PEX19/PEX26/PEX7/PFKM/PHYH/PIPOX/PNPLA8/RBP1/RETSAT/RXRG/SCP2/SLC23A1/SLC23A2/SLC27A2/SLC35B2/SLCO1A2/SOAT2/SULT1B1/SULT2B1/TFCP2L1
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.167640291077246	0.598715325275879	NA	0.0741913020185422	196	ABCA1/ACAA2/ACADL/ACADM/ACADS/ACLY/ACO2/ACOX1/ADCY6/ADIPOQ/AGPAT3/ALDH2/ALDOA/ANGPT1/ARAF/ARL4A/ATP1B3/ATP5PO/BCL6/C3/CAT/CAVIN1/CAVIN2/CCNG2/CD151/CD302/CD36/CDKN2C/CHCHD10/CIDEA/CMPK1/COL4A1/COQ5/COQ9/COX7B/COX8A/CPT2/CRAT/CS/CYP4B1/DBT/DECR1/DHRS7/DHRS7B/DLAT/DLD/DNAJB9/DRAM2/ECH1/ECHS1/ELMOD3/ELOVL6/EPHX2/ESRRA/ESYT1/FABP4/FZD4/GADD45A/GBE1/GHITM/GPD2/GPHN/GPX3/HADH/HIBCH/HSPB8/IDH1/IDH3A/IDH3G/IMMT/ITGA7/ITIH5/ITSN1/LAMA4/LEP/LIFR/LIPE/LPL/LTC4S/MDH2/ME1/MGLL/MGST3/MIGA2/MRPL15/MTARC2/NABP1/NDUFA5/NDUFS3/NKIRAS1/NMT1/PDCD4/PGM1/PHYH/PIM3/PLIN2/POR/PPARG/PPM1B/PPP1R15B/PRDX3/PREB/PTCD3/PTGER3/QDPR/RAB34/REEP5/REEP6/RETSAT/RIOK3/RNF11/RREB1/RTN3/SAMM50/SCARB1/SCP2/SDHB/SDHC/SLC19A1/SLC1A5/SLC25A1/SLC27A1/SORBS1/SOWAHC/SPARCL1/SSPN/SUCLG1/TALDO1/TOB1/TST/UBC/UBQLN1/UCP2/UQCRC1/UQCRQ
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.224924722830482	0.749749076101605	NA	0.0600376708344983	195	ABCB6/ADORA2B/AGL/AGRN/AK3/AKR1A1/ALDH7A1/ALDH9A1/ALDOA/ALG1/ANG/ARTN/AURKA/B3GALT6/B3GAT3/B3GNT3/B4GALT1/B4GALT2/B4GALT4/CACNA1H/CAPN5/CASP6/CD44/CDK1/CENPA/CHPF/CHPF2/CHST1/CHST12/CHST2/CHST4/CHST6/CITED2/CLDN3/CLN6/COL5A1/COPB2/CXCR4/CYB5A/DEPDC1/DLD/EGFR/EGLN3/ELF3/ENO1/ENO2/ERO1A/EXT1/EXT2/FBP2/GALE/GFPT1/GLCE/GMPPB/GNE/GNPDA1/GOT1/GOT2/GPC1/GPR87/GYS1/HAX1/HDLBP/HMMR/HSPA5/IDH1/IER3/IGFBP3/IL13RA1/IRS2/ISG20/KDELR3/KIF20A/LCT/LHPP/LHX9/MDH1/MDH2/ME1/MED24/MERTK/MET/MIOX/MPI/MXI1/NANP/NASP/NDUFV3/NOL3/NT5E/P4HA1/P4HA2/PAM/PFKFB1/PGK1/PGM2/PKM/PKP2/PLOD1/PLOD2/POLR3K/PPFIA4/PPIA/PPP2CB/PRPS1/PSMC4/PYGL/QSOX1/RBCK1/RRAGD/SDC2/SDHC/SLC16A3/SLC35A3/SLC37A4/SPAG4/SRD5A3/STC1/STC2/STMN1/TALDO1/TFF3/TGFBI/TKTL1/TPBG/TPI1/TPST1/TXN/UGP2/VCAN/VEGFA/VLDLR/XYLT2
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.256835721856946	0.759444671610112	NA	0.0522765255901016	199	ACP1/APEX1/BUB3/CAD/CANX/CBX3/CCNA2/CCT2/CCT3/CCT4/CCT5/CCT7/CDC20/CDC45/CDK2/CDK4/CLNS1A/COX5A/CSTF2/CTPS1/DDX18/DEK/DUT/EEF1B2/EIF1AX/EIF2S2/EIF3B/EIF3J/EIF4A1/EIF4E/EPRS1/ERH/ETF1/FAM120A/GLO1/GNL3/GOT2/H2AZ1/HDAC2/HDDC2/HDGF/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPD/HNRNPR/HNRNPU/HPRT1/HSP90AB1/HSPD1/HSPE1/ILF2/IMPDH2/KPNA2/LSM2/LSM7/MAD2L1/MCM2/MCM4/MCM5/MCM6/MCM7/MRPL9/MYC/NCBP1/NCBP2/NHP2/NME1/NOLC1/NOP56/ODC1/ORC2/PABPC1/PCNA/PGK1/POLD2/POLE3/PPIA/PPM1G/PRDX3/PRPF31/PSMA1/PSMA2/PSMA4/PSMA6/PSMA7/PSMB2/PSMB3/PSMC4/PSMD14/PSMD3/PTGES3/PWP1/RACK1/RAN/RANBP1/RFC4/RNPS1/RPL14/RPL18/RPL22/RPL34/RPL6/RPLP0/RPS10/RPS3/RPS5/RPS6/RRM1/SET/SLC25A3/SNRPA/SNRPA1/SNRPB2/SNRPD1/SNRPD2/SNRPG/SRM/SRSF1/SSB/STARD7/TARDBP/TRA2B/TRIM28/TXNL4A/TYMS/UBA2/UBE2E1/UBE2L3/USP1/VDAC1/VDAC3/XPO1/XPOT/XRCC6
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	clusterProfiler_ORA	tcga_cancer__HNSC_DESeq2	tcga_cancer__HNSC_DESeq2	0.258211188347438	0.759444671610112	NA	0.126658721912677	42	ADAM10/AFAP1L2/AKAP7/APP/ATP6V0A4/B4GALT1/BRCA1/CROCC/CRYBG1/DCBLD2/EFNA5/EPHB4/GATA3/IL2RB/IL2RG/LYPD3/MAL/MDGA1/NCOA6/PCSK9/PKHD1/PLAUR/RHCG/SCUBE1/SLC2A4/SLC34A3/SRPX/SULF2/THY1/TMEM8B
