pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.9997003523477591	0.9999999976002486		-0.7792482919050061	200	Pdcd4;Map4k3;Pim3;Lpl;Ndufs3;Chuk;Prdx3;Samm50;Plin2;Baz2a;Taldo1;Cmbl;Mccc1;Esyt1;Crat;Acaa2;Sowahc;Stat5a;Coq3;Rmdn3;Lifr;Aifm1;Echs1;Fah;Araf;Phldb1;Slc1a5;Elovl6;Nkiras1;Abca1;Slc5a6;Esrra;Tank;Mrpl15;G3bp2;Hspb8;Gadd45a;Itsn1;Ptcd3;Dbt;Aplp2;Ptger3;Coq9;Cs;Itga7;Pex14;Gphn;Idh3g;Ubc;Dhcr7;Lama4;Slc27a1;Dhrs7b;Sdhc;Jagn1;Ywhag;Acadm;Sorbs1;Bcl2l13;Pfkl;Gbe1;Vegfb
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.9468455217133867	0.9999999976002486		-0.5169673355267735	201	Acvr2a;Glmn;Ache;H2-DMa;Inhbb;Flna;Ube2d1;Ccnd3;Map3k7;Nck1;Wars1;Socs5;Eif5a;Ube2n;Akt1;Csf1;Bcat1;Abi1;Timp1;Tpd52;Thy1;Ets1;Cartpt;Bcl3;Hif1a;Tap2;Ikbkb;Il4ra;Hdac9;Jak2
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.9282713976745122	0.9999999976002486		-0.4446006380815168	112	Xrcc5;Gpd1l;Pias1;Abcc4;Acsl3;Pdlim5;Sord;Ccnd3;Tsc22d1;Herc3;Lifr;Akt1;Elk4;Fkbp5;Arid5b;Spcs3;Actn1;Ell2;Maf;Adrm1;Ncoa4;Rps6ka3;Uap1;Zmiz1;Tpd52;B4galt1;Homer2;Zbtb10;Gnai3;Pgm3;Cdk6;Rab4a;Dhcr24;Map7
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.2906366291016795	0.9999999976002486		0.5524846358156669	36	Ptk2;Spp1;Vegfa;Timp1;Nrp1;Lpl;Tnfrsf21;Thbd;Jag2;Vav2
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.12954266887391583	0.9999999976002486		0.3242712197587501	199	Arhgef6;Map4k2;Cd34;Itgb1;Actg1;Ctnna1;Cadm2;Tmem8b;Tubg1;Amigo2;Actb;Crat;Pkd1;Pcdh1;Epb41l2;Myh9;Tjp1;Actn4;Cdk8;Mapk14;Tial1;Actn1;Inppl1;Rasa1;Akt3;Mdk;Nlgn3;Pik3r3;Tspan4;Ptk2;Sgce;Gnai1;Tsc1;Src;Shc1;Myl12b;Arpc2;Pten;Cdh8;Thy1;B4galt1;Plcg1;Atp1a3;Fscn1;Skap2;Cdh11;Msn;Amigo1;Akt2;Slit2;Mapk11;Negr1;Cadm3;Nf1;Cap1;Dhx16;Dlg1;Flnc;Sdc3;Adam9;Nectin2;Mpzl1;Vav2;Nexn;Nlgn2;Acta1;Wasl;Pbx2;Gtf2f1
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.3095659826282659	0.9999999976002486		0.4772503220547691	44	Hspb1;Rtn4rl1;Akap7;B4galt1;Thy1;Efna5;Plaur;Flot2;Ncoa6;Ntng1;Tmem8b
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.9777181480586892	0.9999999976002486		-0.5565946336305947	160	Pea15a;Pdgfrb;Cd44;Pdcd4;Dffa;Btg3;Psen1;Casp9;Ppt1;Clu;Anxa1;Cdkn1b;Dnm1l;Psen2;Dpyd;Dcn;Timp2;Timp3;Dap3;Sptan1;Smad7;Ptk2;Nedd9;Hspb1;Timp1;Casp1;Atf3;Gadd45a;Vdac2;Sqstm1;Cav1;Rock1;Bax;Xiap;Crebbp;Jun;Tgfbr3;Cdkn1a;Tnfrsf12a;Cyld;Fdxr;Bid
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.49133198790170857	0.9999999976002486		0.055937411683882	112	Pex7;Pex13;Pex19;Nr3c2;Hsd17b4;Bcar3;Abcd3;Abca6;Mlycd;Nudt12;Gnpat;Nedd4;Isoc1;Abca1;Pex26;Abca8b;Crot;Optn;Pex16;Rxrg;Pex6;Amacr;Atxn1;Abca5;Pxmp2;Slc29a1;Lonp2;Fdxr;Dhcr24;Hsd17b11;Pfkm
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.9522743170943979	0.9999999976002486		-0.5656345637129483	75	Mal2;Lpl;Sema3b;Clu;Hsd17b7;Atxn2;Acss2;Antxr2;Alcam;Plaur;Pnrc1;Nfil3;Atf5;Gnai1;Tm7sf2;Atf3;Ldlr;Stx5a;S100a11;Dhcr7;Tnfrsf12a;Errfi1;Trp53inp1;Ethe1;Sqle;Actg1
HALLMARK_COAGULATION	HALLMARK_COAGULATION	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.8187722860421138	0.9999999976002486		-0.3085688001398446	139	Fgg;Dusp14;Usp11;Casp9;Klf7;Prss23;Clu;Anxa1;Gng12;P2ry1;Ctsb;Comp;Lamp2;Dusp6;Lta4h;Lrp1;Wdr1;Timp3;Timp1;Msrb2;Rac1;Thbd;Adam9;Csrp1
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	MSigDB_Hallmark	gseapy_enrichr	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.6537158058653265	0.9999999976002486		-0.08515631247068527	196	Gca;Lipa;Psen1;Cblb;Casp9;Calm3;Clu;Pdp1;Ctsb;Akap10;Lamp2;Cebpb;Dgkg;Car2;Cd55;Hspa1a;Irf2;Dusp6;Lta4h;Lrp1;Dock9;Plaur;Rhog;Usp14;Jak2;Timp2;Grb2;Dock10;Pclo;Prkcd;Timp1;Casp1;Ctsd;Rasgrp1;Src;Sirt6;Usp15;Gnb4;Prss36;Kif2a;Kcnip2;Pim1;Fdx1;Gnai3;Cr1l;Dock4;Adam9;Prdm4;Csrp1;Lap3;Ppp2cb;Usp16
